"",BBK01.OEAK04O,BBK01.OEAK04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:26,
2002-01,1.104,
2002-04,1.067,
2002-07,1.049,
2002-10,1.056,
2003-01,1.046,
2003-04,1.000,
2003-07,1.004,
2003-10,0.952,
2004-01,0.942,
2004-04,0.919,
2004-07,0.891,
2004-10,0.860,
2005-01,0.883,
2005-04,0.861,
2005-07,0.863,
2005-10,0.907,
2006-01,0.919,
2006-04,0.955,
2006-07,1.030,
2006-10,1.104,
2007-01,1.138,
2007-04,1.146,
2007-07,1.265,
2007-10,1.429,
2008-01,1.470,
2008-04,1.553,
2008-07,1.650,
2008-10,1.961,
2009-01,1.536,
2009-04,1.320,
2009-07,1.114,
2009-10,1.107,
2010-01,0.856,
2010-04,0.904,
2010-07,0.820,
2010-10,0.803,
2011-01,0.784,
2011-04,0.785,
2011-07,0.820,
2011-10,0.837,
2012-01,0.801,
2012-04,0.765,
2012-07,0.654,
2012-10,0.607,
2013-01,0.521,
2013-04,0.477,
2013-07,0.448,
2013-10,0.443,
2014-01,0.445,
2014-04,0.476,
2014-07,0.455,
