"",BBK01.OEAE13M,BBK01.OEAE13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:23,
2002-01,2.097,
2002-04,2.134,
2002-07,2.147,
2002-10,2.146,
2003-01,2.043,
2003-04,2.044,
2003-07,2.075,
2003-10,2.002,
2004-01,1.853,
2004-04,1.863,
2004-07,1.958,
2004-10,1.678,
2005-01,1.655,
2005-04,1.606,
2005-07,1.576,
2005-10,1.485,
2006-01,1.359,
2006-04,1.322,
2006-07,1.289,
2006-10,1.356,
2007-01,1.335,
2007-04,1.326,
2007-07,1.280,
2007-10,1.388,
2008-01,1.394,
2008-04,1.439,
2008-07,1.529,
2008-10,1.626,
2009-01,0.956,
2009-04,1.396,
2009-07,1.337,
2009-10,0.332,
2010-01,1.506,
2010-04,1.093,
2010-07,1.084,
2010-10,0.929,
2011-01,0.948,
2011-04,0.964,
2011-07,0.907,
2011-10,0.952,
2012-01,0.966,
2012-04,0.891,
2012-07,0.974,
2012-10,0.996,
2013-01,1.009,
2013-04,1.102,
2013-07,1.094,
2013-10,1.120,
2014-01,1.157,
2014-04,1.218,
2014-07,1.243,
