"",BBFN1.M.DE.N.1.A.PT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:16,
1982-09,0.028,
1982-10,0.026,
1982-11,0.026,
1982-12,0.034,
1983-01,0.033,
1983-02,0.035,
1983-03,0.034,
1983-04,0.036,
1983-05,0.038,
1983-06,0.038,
1983-07,0.039,
1983-08,0.041,
1983-09,0.040,
1983-10,0.036,
1983-11,0.034,
1983-12,0.035,
1984-01,0.035,
1984-02,0.034,
1984-03,0.034,
1984-04,0.034,
1984-05,0.033,
1984-06,0.035,
1984-07,0.034,
1984-08,0.036,
1984-09,0.042,
1984-10,0.038,
1984-11,0.038,
1984-12,0.039,
1985-01,0.036,
1985-02,0.036,
1985-03,0.034,
1985-04,0.034,
1985-05,0.037,
1985-06,0.036,
1985-07,0.040,
1985-08,0.039,
1985-09,0.037,
1985-10,0.034,
1985-11,0.032,
1985-12,0.032,
1986-01,0.036,
1986-02,0.036,
1986-03,0.036,
1986-04,0.036,
1986-05,0.037,
1986-06,0.040,
1986-07,0.041,
1986-08,0.044,
1986-09,0.057,
1986-10,0.047,
1986-11,0.045,
1986-12,0.045,
1987-01,0.046,
1987-02,0.041,
1987-03,0.040,
1987-04,0.042,
1987-05,0.047,
1987-06,0.049,
1987-07,0.052,
1987-08,0.058,
1987-09,0.061,
1987-10,0.073,
1987-11,0.046,
1987-12,0.053,
1988-01,0.051,
1988-02,0.043,
1988-03,0.044,
1988-04,0.047,
1988-05,0.043,
1988-06,0.044,
1988-07,0.047,
1988-08,0.048,
1988-09,0.052,
1988-10,0.057,
1988-11,0.056,
1988-12,0.057,
1989-01,0.057,
1989-02,0.059,
1989-03,0.064,
1989-04,0.065,
1989-05,0.064,
1989-06,0.066,
1989-07,0.074,
1989-08,0.077,
1989-09,0.075,
1989-10,0.084,
1989-11,0.085,
1989-12,0.101,
1990-01,0.102,
1990-02,0.101,
1990-03,0.109,
1990-04,0.112,
1990-05,0.124,
1990-06,0.126,
1990-07,0.127,
1990-08,0.123,
1990-09,0.122,
1990-10,0.127,
1990-11,0.127,
1990-12,0.132,
1991-01,0.132,
1991-02,0.135,
1991-03,0.142,
1991-04,0.140,
1991-05,0.141,
1991-06,0.144,
1991-07,0.157,
1991-08,0.161,
1991-09,0.166,
1991-10,0.167,
1991-11,0.165,
1991-12,0.172,
1992-01,0.173,
1992-02,0.181,
1992-03,0.462,
1992-04,0.609,
1992-05,0.923,
1992-06,1.436,
1992-07,1.713,
1992-08,1.824,
1992-09,1.941,
1992-10,2.081,
1992-11,2.364,
1992-12,1.457,
1993-01,1.283,
1993-02,1.377,
1993-03,1.603,
1993-04,1.456,
1993-05,1.393,
1993-06,1.220,
1993-07,1.220,
1993-08,1.232,
1993-09,1.272,
1993-10,1.664,
1993-11,1.957,
1993-12,1.728,
1994-01,1.495,
1994-02,1.888,
1994-03,1.905,
1994-04,1.933,
1994-05,2.030,
1994-06,1.897,
1994-07,1.612,
1994-08,1.637,
1994-09,1.647,
1994-10,1.654,
1994-11,1.688,
1994-12,1.136,
1995-01,1.708,
1995-02,1.977,
1995-03,2.215,
1995-04,2.158,
1995-05,2.311,
1995-06,2.119,
1995-07,2.218,
1995-08,2.214,
1995-09,2.479,
1995-10,2.734,
1995-11,2.974,
1995-12,1.373,
1996-01,2.705,
1996-02,2.873,
1996-03,2.996,
1996-04,2.710,
1996-05,2.727,
1996-06,2.815,
1996-07,2.897,
1996-08,2.768,
1996-09,2.685,
1996-10,2.696,
1996-11,2.532,
1996-12,0.950,
1997-01,1.677,
1997-02,1.821,
1997-03,1.684,
1997-04,1.786,
1997-05,1.912,
1997-06,1.817,
1997-07,2.169,
1997-08,2.329,
1997-09,2.509,
1997-10,3.173,
1997-11,3.198,
1997-12,1.943,
1998-01,2.896,
1998-02,2.996,
1998-03,3.432,
1998-04,3.468,
1998-05,3.070,
1998-06,2.784,
1998-07,3.085,
1998-08,2.845,
1998-09,3.068,
1998-10,3.517,
1998-11,3.244,
1998-12,1.401,
1999-01,1.953,
1999-02,2.238,
1999-03,2.817,
1999-04,3.270,
1999-05,3.638,
1999-06,3.461,
1999-07,3.297,
1999-08,3.160,
1999-09,3.064,
1999-10,3.092,
1999-11,3.032,
1999-12,1.553,
2000-01,1.633,
2000-02,2.164,
2000-03,2.275,
2000-04,2.595,
2000-05,2.703,
2000-06,2.611,
2000-07,2.343,
2000-08,2.475,
2000-09,2.198,
2000-10,2.772,
2000-11,3.109,
2000-12,2.134,
2001-01,2.836,
2001-02,4.499,
2001-03,6.016,
2001-04,4.049,
2001-05,4.763,
2001-06,4.845,
2001-07,5.973,
2001-08,4.971,
2001-09,4.410,
2001-10,4.719,
2001-11,4.767,
2001-12,3.357,
2002-01,4.548,
2002-02,7.645,
2002-03,7.610,
2002-04,7.997,
2002-05,10.755,
2002-06,10.490,
2002-07,9.382,
2002-08,9.554,
2002-09,9.135,
2002-10,8.688,
2002-11,6.923,
2002-12,3.850,
2003-01,5.990,
2003-02,5.482,
2003-03,5.482,
2003-04,5.695,
2003-05,6.530,
2003-06,7.655,
2003-07,7.694,
2003-08,7.578,
2003-09,7.355,
2003-10,7.126,
2003-11,7.792,
2003-12,6.552,
2004-01,7.576,
2004-02,7.354,
2004-03,6.961,
2004-04,7.150,
2004-05,6.840,
2004-06,7.070,
2004-07,7.842,
2004-08,7.211,
2004-09,7.858,
2004-10,7.267,
2004-11,7.959,
2004-12,8.817,
2005-01,8.470,
2005-02,8.559,
2005-03,9.104,
2005-04,8.665,
2005-05,8.836,
2005-06,7.221,
2005-07,8.406,
2005-08,9.825,
2005-09,10.680,
2005-10,10.296,
2005-11,9.884,
2005-12,7.346,
2006-01,9.462,
2006-02,10.230,
2006-03,10.963,
2006-04,9.097,
2006-05,11.669,
2006-06,6.627,
2006-07,6.539,
2006-08,7.603,
2006-09,5.892,
2006-10,7.108,
2006-11,7.539,
2006-12,6.992,
2007-01,7.770,
2007-02,9.130,
2007-03,8.569,
2007-04,9.470,
2007-05,9.800,
2007-06,10.236,
2007-07,10.801,
2007-08,11.367,
2007-09,9.967,
2007-10,10.768,
2007-11,10.318,
2007-12,10.852,
2008-01,10.419,
2008-02,10.815,
2008-03,10.558,
2008-04,8.475,
2008-05,8.728,
2008-06,8.553,
2008-07,8.292,
2008-08,8.589,
2008-09,7.851,
2008-10,5.902,
2008-11,5.854,
2008-12,4.828,
2009-01,4.515,
2009-02,4.599,
2009-03,4.136,
2009-04,4.015,
2009-05,4.229,
2009-06,4.258,
2009-07,4.238,
2009-08,4.107,
2009-09,4.923,
2009-10,4.513,
2009-11,4.294,
2009-12,4.243,
2010-01,4.252,
2010-02,3.796,
2010-03,4.354,
2010-04,4.377,
2010-05,3.743,
2010-06,4.210,
2010-07,3.412,
2010-08,3.353,
2010-09,3.375,
2010-10,3.362,
2010-11,3.455,
2010-12,3.375,
2011-01,3.328,
2011-02,3.279,
2011-03,2.975,
2011-04,2.875,
2011-05,2.879,
2011-06,2.770,
2011-07,2.678,
2011-08,2.615,
2011-09,2.332,
2011-10,2.232,
2011-11,1.939,
2011-12,1.442,
2012-01,1.426,
2012-02,1.333,
2012-03,1.309,
2012-04,1.295,
2012-05,1.342,
2012-06,1.387,
2012-07,1.360,
2012-08,1.342,
2012-09,1.359,
2012-10,1.363,
2012-11,1.299,
2012-12,1.303,
2013-01,1.384,
2013-02,1.518,
2013-03,1.546,
2013-04,1.497,
2013-05,1.529,
2013-06,1.609,
2013-07,1.576,
2013-08,1.537,
2013-09,1.507,
2013-10,1.527,
2013-11,1.648,
2013-12,1.450,
2014-01,1.305,
2014-02,1.288,
2014-03,1.315,
2014-04,1.301,
2014-05,1.340,
2014-06,1.339,
2014-07,1.321,
2014-08,1.239,
2014-09,1.196,
2014-10,1.201,
2014-11,1.156,
2014-12,1.055,
