"",BBFB1.Q.N.DE.E14000.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:24,
1991-01,1867.533,
1991-04,1598.491,
1991-07,1715.972,
1991-10,1872.972,
1992-01,1725.681,
1992-04,1602.361,
1992-07,1711.325,
1992-10,1714.301,
1993-01,1781.809,
1993-04,1868.426,
1993-07,2040.942,
1993-10,2271.103,
1994-01,2043.057,
1994-04,1981.642,
1994-07,2056.634,
1994-10,2078.102,
1995-01,1913.999,
1995-04,2141.131,
1995-07,1883.282,
1995-10,2051.167,
1996-01,2036.599,
1996-04,2094.212,
1996-07,2096.758,
1996-10,2107.053,
1997-01,1857.815,
1997-04,1877.614,
1997-07,1836.289,
1997-10,1841.333,
1998-01,1653.804,
1998-04,1649.587,
1998-07,1707.490,
1998-10,1794.668,
1999-01,1390.174,
1999-04,1533.414,
1999-07,1500.392,
1999-10,1608.563,
2000-01,1224.222,
2000-04,1283.885,
2000-07,1213.310,
2000-10,1384.353,
2001-01,1808.487,
2001-04,1828.740,
2001-07,1881.656,
2001-10,1870.499,
2002-01,1487.438,
2002-04,1473.545,
2002-07,1469.421,
2002-10,1544.136,
2003-01,3301.366,
2003-04,3457.556,
2003-07,3302.074,
2003-10,3255.164,
2004-01,2807.595,
2004-04,2807.719,
2004-07,2590.177,
2004-10,2720.173,
2005-01,2384.169,
2005-04,2361.017,
2005-07,2334.883,
2005-10,2283.460,
2006-01,1791.836,
2006-04,1813.612,
2006-07,1732.656,
2006-10,1806.964,
2007-01,2267.320,
2007-04,2390.268,
2007-07,2342.016,
2007-10,2401.907,
2008-01,2647.395,
2008-04,2677.342,
2008-07,2523.074,
2008-10,2532.441,
2009-01,1902.184,
2009-04,1848.007,
2009-07,1811.747,
2009-10,1856.675,
2010-01,1959.522,
2010-04,2103.605,
2010-07,2126.410,
2010-10,2286.558,
2011-01,2800.353,
2011-04,2835.993,
2011-07,2860.224,
2011-10,2990.073,
2012-01,1812.316,
2012-04,1782.140,
2012-07,1797.601,
2012-10,2699.696,
2013-01,2203.868,
2013-04,2191.006,
2013-07,2170.150,
2013-10,2166.919,
2014-01,1840.780,Provisional value
2014-04,2019.625,Provisional value
2014-07,1936.680,Provisional value
