"",BBK01.OEYB22V,BBK01.OEYB22V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:08,
2002-01,0.046,
2002-04,0.422,
2002-07,0.115,
2002-10,0.857,
2003-01,0.159,
2003-04,0.045,
2003-07,0.051,
2003-10,0.259,
2004-01,0.049,
2004-04,0.115,
2004-07,0.085,
2004-10,0.073,
2005-01,0.055,
2005-04,0.042,
2005-07,0.207,
2005-10,0.187,
2006-01,0.039,
2006-04,0.075,
2006-07,0.172,
2006-10,0.161,
2007-01,0.086,
2007-04,0.060,
2007-07,0.063,
2007-10,0.457,
2008-01,0.061,
2008-04,0.036,
2008-07,0.033,
2008-10,0.053,
2009-01,0.025,
2009-04,0.024,
2009-07,0.024,
2009-10,0.024,
2010-01,0.038,
2010-04,0.028,
2010-07,0.033,
2010-10,0.032,
2011-01,0.029,
2011-04,0.028,
2011-07,0.031,
2011-10,0.063,
2012-01,0.022,
2012-04,0.027,
2012-07,0.066,
2012-10,0.066,
2013-01,0.033,
2013-04,0.150,
2013-07,0.199,
2013-10,0.139,
2014-01,0.128,
2014-04,0.004,
2014-07,0.011,
