"",BBFB1.Q.N.DE.SI.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:45,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-13.039,
1992-07,-29.742,
1992-10,-32.847,
1993-01,-47.979,
1993-04,-50.525,
1993-07,-55.943,
1993-10,-54.279,
1994-01,-57.025,
1994-04,-55.528,
1994-07,-67.286,
1994-10,-48.871,
1995-01,-61.694,
1995-04,-49.644,
1995-07,-75.068,
1995-10,-50.360,
1996-01,-19.329,
1996-04,-30.505,
1996-07,-41.257,
1996-10,-32.615,
1997-01,-30.287,
1997-04,-37.703,
1997-07,-56.051,
1997-10,-35.737,
1998-01,-29.336,
1998-04,-38.339,
1998-07,-54.423,
1998-10,-39.852,
1999-01,-31.499,
1999-04,-46.992,
1999-07,-58.402,
1999-10,-49.921,
2000-01,-43.023,
2000-04,-58.762,
2000-07,-80.751,
2000-10,-64.714,
2001-01,-40.951,
2001-04,-65.392,
2001-07,-99.652,
2001-10,-64.926,
2002-01,-37.286,
2002-04,-71.249,
2002-07,-76.535,
2002-10,-35.453,
2003-01,-49.257,
2003-04,-85.236,
2003-07,-94.088,
2003-10,-42.945,
2004-01,-37.460,
2004-04,-63.854,
2004-07,-84.691,
2004-10,-57.656,
2005-01,-19.925,
2005-04,-42.528,
2005-07,-50.949,
2005-10,-33.403,
2006-01,-2.644,
2006-04,-28.338,
2006-07,-53.334,
2006-10,0.525,
2007-01,-20.086,
2007-04,-62.290,
2007-07,-92.116,
2007-10,2.061,
2008-01,-1.582,
2008-04,-22.461,
2008-07,-46.229,
2008-10,11.829,
2009-01,5.123,
2009-04,-3.962,
2009-07,-62.091,
2009-10,3.915,
2010-01,12.890,
2010-04,-59.760,
2010-07,-45.015,
2010-10,0.513,
2011-01,22.846,
2011-04,-22.986,
2011-07,-49.648,
2011-10,4.911,
2012-01,-16.455,
2012-04,6.640,
2012-07,-52.182,
2012-10,9.090,
2013-01,13.376,
2013-04,-24.845,
2013-07,-105.212,
2013-10,-96.865,
2014-01,-2.181,Provisional value
2014-04,-32.018,Provisional value
2014-07,-83.226,Provisional value
