"",BBFB1.Q.N.DE.RU.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:24,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,654.144,
1992-07,486.464,
1992-10,1138.024,
1993-01,927.282,
1993-04,1287.981,
1993-07,672.206,
1993-10,2307.538,
1994-01,242.142,
1994-04,1269.835,
1994-07,243.013,
1994-10,-219.327,
1995-01,98.037,
1995-04,367.951,
1995-07,123.656,
1995-10,606.441,
1996-01,383.216,
1996-04,828.587,
1996-07,493.298,
1996-10,1306.265,
1997-01,1084.194,
1997-04,195.866,
1997-07,821.208,
1997-10,352.228,
1998-01,1309.036,
1998-04,975.696,
1998-07,896.431,
1998-10,388.576,
1999-01,472.121,
1999-04,201.746,
1999-07,-228.404,
1999-10,362.365,
2000-01,-503.436,
2000-04,-377.268,
2000-07,-150.543,
2000-10,-781.208,
2001-01,-1435.653,
2001-04,-479.712,
2001-07,-186.710,
2001-10,649.524,
2002-01,-800.402,
2002-04,-125.519,
2002-07,-390.289,
2002-10,-662.752,
2003-01,1379.068,
2003-04,-1029.366,
2003-07,-15.820,
2003-10,175.888,
2004-01,-1671.060,
2004-04,631.515,
2004-07,1128.185,
2004-10,-337.776,
2005-01,480.550,
2005-04,40.036,
2005-07,-4547.761,
2005-10,1511.290,
2006-01,1486.386,
2006-04,793.789,
2006-07,-5980.595,
2006-10,4119.366,
2007-01,225.601,
2007-04,1772.926,
2007-07,3210.163,
2007-10,5499.862,
2008-01,1441.245,
2008-04,3593.414,
2008-07,2099.380,
2008-10,-402.852,
2009-01,-1673.266,
2009-04,-1680.820,
2009-07,-1370.842,
2009-10,-2035.660,
2010-01,-444.945,
2010-04,-413.941,
2010-07,808.767,
2010-10,-3808.972,
2011-01,385.840,
2011-04,801.370,
2011-07,-1017.303,
2011-10,525.164,
2012-01,980.713,
2012-04,2527.319,
2012-07,-1855.468,
2012-10,2138.816,
2013-01,174.708,
2013-04,792.605,
2013-07,-900.588,
2013-10,968.310,
2014-01,130.052,Provisional value
2014-04,389.117,Provisional value
2014-07,-1201.548,Provisional value
2014-10,106.096,Provisional value
