"",BBK01.OEHM02V,BBK01.OEHM02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:34,
2002-01,0.284,
2002-04,0.299,
2002-07,0.375,
2002-10,0.482,
2003-01,0.319,
2003-04,0.332,
2003-07,0.320,
2003-10,0.392,
2004-01,0.307,
2004-04,0.323,
2004-07,0.309,
2004-10,0.407,
2005-01,0.359,
2005-04,0.363,
2005-07,0.369,
2005-10,0.440,
2006-01,0.329,
2006-04,0.391,
2006-07,0.404,
2006-10,0.411,
2007-01,0.332,
2007-04,0.316,
2007-07,0.311,
2007-10,0.357,
2008-01,0.403,
2008-04,0.428,
2008-07,0.669,
2008-10,0.576,
2009-01,0.796,
2009-04,1.200,
2009-07,1.176,
2009-10,1.191,
2010-01,1.172,
2010-04,1.153,
2010-07,1.087,
2010-10,1.168,
2011-01,0.997,
2011-04,1.065,
2011-07,0.664,
2011-10,1.219,
2012-01,1.144,
2012-04,0.870,
2012-07,0.941,
2012-10,1.002,
2013-01,0.931,
2013-04,1.028,
2013-07,0.989,
2013-10,1.093,
2014-01,0.942,
2014-04,1.170,
2014-07,0.953,
