"",BBK01.OEYJ10H,BBK01.OEYJ10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:06:28,
2002-01,0.076,
2002-04,0.075,
2002-07,0.074,
2002-10,0.073,
2003-01,0.070,
2003-04,0.068,
2003-07,0.066,
2003-10,0.074,
2004-01,0.072,
2004-04,0.067,
2004-07,0.064,
2004-10,0.155,
2005-01,0.154,
2005-04,0.151,
2005-07,0.140,
2005-10,0.134,
2006-01,0.133,
2006-04,0.118,
2006-07,0.116,
2006-10,0.111,
2007-01,0.046,
2007-04,0.043,
2007-07,0.041,
2007-10,0.038,
2008-01,0.036,
2008-04,0.033,
2008-07,0.033,
2008-10,0.033,
2009-01,0.032,
2009-04,0.030,
2009-07,0.029,
2009-10,0.025,
2010-01,0.024,
2010-04,0.024,
2010-07,0.023,
2010-10,0.021,
2011-01,0.021,
2011-04,0.020,
2011-07,0.020,
2011-10,0.018,
2012-01,0.019,
2012-04,0.018,
2012-07,0.017,
2012-10,0.015,
2013-01,0.015,
2013-04,0.013,
2013-07,0.012,
2013-10,0.012,
2014-01,0.008,
2014-04,0.007,
2014-07,0.007,
