"",BBSF2.M.1.S.00000.DAC01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Number outstanding,
unit,Stueck (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:37,
2009-01,129569,
2009-02,125430,
2009-03,136986,
2009-04,144698,
2009-05,153725,
2009-06,154329,
2009-07,166358,
2009-08,167652,
2009-09,180347,
2009-10,183778,
2009-11,193585,
2009-12,200870,
2010-01,202107,
2010-02,205196,
2010-03,208343,
2010-04,211074,
2010-05,211574,
2010-06,209569,
2010-07,213616,
2010-08,250305,
2010-09,274016,
2010-10,280432,
2010-11,284000,
2010-12,293871,
2011-01,294061,
2011-02,295314,
2011-03,298236,
2011-04,300184,
2011-05,300715,
2011-06,303871,
2011-07,306909,
2011-08,309073,
2011-09,316398,
2011-10,322028,
2011-11,324287,
2011-12,337179,
2012-01,338913,
2012-02,339635,
2012-03,345133,
2012-04,346885,
2012-05,347230,
2012-06,353274,
2012-07,440848,
2012-08,438066,
2012-09,438566,
2012-10,445826,
2012-11,446852,
2012-12,456428,
2013-01,465059,
2013-02,466923,
2013-03,469037,
2013-04,474058,
2013-05,475516,
2013-06,475805,
2013-07,480081,
2013-08,478968,
2013-09,481161,
2013-10,490408,
2013-11,494928,
2013-12,509211,
2014-01,509799,
2014-02,511163,
2014-03,520096,
2014-04,522371,
2014-05,523596,
2014-06,529497,
2014-07,534175,
2014-08,528287,
2014-09,530444,
2014-10,530384,
2014-11,537010,
