"",BBK01.CEFFN5,BBK01.CEFFN5_FLAGS
"",long-term loans  debtor: Rest of the world                  creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:42,
1999-01,9.9,
1999-04,10.4,
1999-07,10.9,
1999-10,10.8,
2000-01,9.6,
2000-04,11.4,
2000-07,11.9,
2000-10,13.5,
2001-01,14.2,
2001-04,14.9,
2001-07,16.4,
2001-10,18.0,
2002-01,18.7,
2002-04,19.1,
2002-07,18.2,
2002-10,19.9,
2003-01,24.3,
2003-04,23.3,
2003-07,22.8,
2003-10,21.9,
2004-01,22.9,
2004-04,24.0,
2004-07,25.3,
2004-10,24.3,
2005-01,24.9,
2005-04,27.4,
2005-07,26.5,
2005-10,25.3,
2006-01,26.3,
2006-04,27.7,
2006-07,26.3,
2006-10,27.9,
2007-01,29.4,
2007-04,33.6,
2007-07,36.1,
2007-10,27.6,
2008-01,31.1,
2008-04,33.3,
2008-07,35.9,
2008-10,35.4,
2009-01,38.1,
2009-04,40.2,
2009-07,41.0,
2009-10,45.4,
2010-01,48.1,
2010-04,49.9,
2010-07,50.5,
2010-10,51.5,
2011-01,52.5,
2011-04,52.9,
2011-07,54.0,
2011-10,56.5,
2012-01,59.5,
2012-04,60.7,
2012-07,65.0,
2012-10,70.8,
2013-01,78.1,
2013-04,85.5,
2013-07,86.0,
2013-10,84.8,
2014-01,85.0,
2014-04,87.4,
2014-07,90.5,
