"",BBK01.OEYI03P,BBK01.OEYI03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:50,
2002-01,2.419,
2002-04,2.303,
2002-07,2.472,
2002-10,2.684,
2003-01,2.863,
2003-04,3.057,
2003-07,3.129,
2003-10,3.414,
2004-01,3.129,
2004-04,2.988,
2004-07,3.316,
2004-10,3.518,
2005-01,3.714,
2005-04,3.688,
2005-07,3.737,
2005-10,3.727,
2006-01,3.866,
2006-04,3.842,
2006-07,4.029,
2006-10,4.123,
2007-01,4.216,
2007-04,4.445,
2007-07,4.373,
2007-10,4.448,
2008-01,4.570,
2008-04,4.579,
2008-07,4.670,
2008-10,4.307,
2009-01,4.370,
2009-04,4.147,
2009-07,4.361,
2009-10,3.775,
2010-01,3.885,
2010-04,3.861,
2010-07,4.230,
2010-10,4.236,
2011-01,4.582,
2011-04,4.858,
2011-07,5.421,
2011-10,5.498,
2012-01,5.843,
2012-04,5.732,
2012-07,5.583,
2012-10,4.882,
2013-01,5.361,
2013-04,5.023,
2013-07,4.377,
2013-10,3.610,
2014-01,3.900,
2014-04,3.934,
2014-07,3.836,
