"",BBSF2.M.1.T.00000.AKT01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Equity funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:21,
2009-09,2877919,
2009-10,2869901,
2009-11,2864634,
2009-12,2854616,
2010-01,2849478,
2010-02,2843426,
2010-03,2837091,
2010-04,2833706,
2010-05,2947250,
2010-06,2807381,
2010-07,2794290,
2010-08,2796715,
2010-09,2769776,
2010-10,2786808,
2010-11,2813961,
2010-12,2826200,
2011-01,2816997,
2011-02,2844280,
2011-03,2819272,
2011-04,2827141,
2011-05,2844669,
2011-06,2836417,
2011-07,2892343,
2011-08,2859389,
2011-09,2815213,
2011-10,2823372,
2011-11,2833237,
2011-12,2822787,
2012-01,2841631,
2012-02,2835622,
2012-03,2815095,
2012-04,2664355,
2012-05,2711744,
2012-06,2736530,
2012-07,2740512,
2012-08,2749252,
2012-09,2759565,
2012-10,2767588,
2012-11,2784736,
2012-12,2831553,
2013-01,2854639,
2013-02,2858379,
2013-03,2875378,
2013-04,2866020,
2013-05,2858357,
2013-06,2862003,
2013-07,2878615,
2013-08,2873776,
2013-09,2887145,
2013-10,2918791,
2013-11,2947896,
2013-12,2955646,
2014-01,2944329,
2014-02,2964130,
2014-03,2953881,
2014-04,3048481,
2014-05,3067842,
2014-06,3098928,
2014-07,3119310,
2014-08,3155884,
2014-09,3122405,
2014-10,2988652,
2014-11,3012004,
