"",BBK01.OEYM05L,BBK01.OEYM05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:57,
2002-01,0.892,
2002-04,0.885,
2002-07,0.659,
2002-10,0.448,
2003-01,0.455,
2003-04,1.199,
2003-07,0.411,
2003-10,0.593,
2004-01,0.617,
2004-04,0.665,
2004-07,0.825,
2004-10,1.049,
2005-01,1.057,
2005-04,1.114,
2005-07,1.150,
2005-10,1.157,
2006-01,1.386,
2006-04,1.460,
2006-07,1.481,
2006-10,1.530,
2007-01,1.364,
2007-04,1.365,
2007-07,1.325,
2007-10,1.659,
2008-01,1.683,
2008-04,1.697,
2008-07,1.653,
2008-10,1.692,
2009-01,1.754,
2009-04,1.719,
2009-07,1.460,
2009-10,1.304,
2010-01,1.311,
2010-04,1.351,
2010-07,1.359,
2010-10,1.327,
2011-01,1.370,
2011-04,1.404,
2011-07,1.454,
2011-10,1.343,
2012-01,1.314,
2012-04,1.299,
2012-07,1.310,
2012-10,1.367,
2013-01,1.366,
2013-04,1.292,
2013-07,1.371,
2013-10,1.220,
2014-01,1.205,
2014-04,1.120,
2014-07,1.108,
