"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.AT.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.AT.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Austria,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:45,
2009-09,1316,
2009-10,1314,
2009-11,1315,
2009-12,1315,
2010-01,1326,
2010-02,1326,
2010-03,1328,
2010-04,1329,
2010-05,1323,
2010-06,1312,
2010-07,1313,
2010-08,1351,
2010-09,1329,
2010-10,1331,
2010-11,1310,
2010-12,1311,
2011-01,1312,
2011-02,1312,
2011-03,1312,
2011-04,1308,
2011-05,1312,
2011-06,1313,
2011-07,1315,
2011-08,1312,
2011-09,1309,
2011-10,1307,
2011-11,1371,
2011-12,1338,
2012-01,1338,
2012-02,1307,
2012-03,1307,
2012-04,1307,
2012-05,1308,
2012-06,1280,
2012-07,1280,
2012-08,1279,
2012-09,1274,
2012-10,1386,
2012-11,1386,
2012-12,1396,
2013-01,1416,
2013-02,1419,
2013-03,1420,
2013-04,1442,
2013-05,1436,
2013-06,1118,
2013-07,1119,
2013-08,1113,
2013-09,1049,
2013-10,1049,
2013-11,1046,
2013-12,1046,
2014-01,1046,
2014-02,1041,
2014-03,1041,
2014-04,1041,
2014-05,1005,
2014-06,1004,
2014-07,983,
2014-08,985,
2014-09,1397,
2014-10,1395,
2014-11,1391,
