"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.IE.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.IE.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Ireland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:23,
2009-09,16991,
2009-10,17716,
2009-11,17942,
2009-12,17956,
2010-01,18684,
2010-02,19505,
2010-03,20146,
2010-04,19520,
2010-05,19576,
2010-06,19552,
2010-07,20096,
2010-08,20104,
2010-09,18297,
2010-10,18398,
2010-11,16967,
2010-12,16581,
2011-01,16064,
2011-02,15996,
2011-03,15800,
2011-04,15371,
2011-05,15392,
2011-06,15297,
2011-07,15274,
2011-08,15082,
2011-09,15127,
2011-10,14885,
2011-11,14629,
2011-12,14855,
2012-01,15153,
2012-02,15033,
2012-03,14486,
2012-04,14498,
2012-05,14605,
2012-06,14682,
2012-07,15157,
2012-08,15295,
2012-09,15865,
2012-10,15849,
2012-11,16037,
2012-12,16221,
2013-01,16598,
2013-02,17307,
2013-03,17914,
2013-04,18016,
2013-05,17962,
2013-06,17775,
2013-07,16967,
2013-08,16850,
2013-09,17215,
2013-10,17291,
2013-11,17575,
2013-12,17509,
2014-01,17726,
2014-02,17810,
2014-03,17927,
2014-04,17706,
2014-05,17914,
2014-06,18026,
2014-07,17591,
2014-08,17553,
2014-09,17512,
2014-10,17666,
2014-11,17829,
