"",BBK01.CEFF1NF,BBK01.CEFF1NF_FLAGS
"",long-term loans                                              debtor: Non-financial corporations creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:12,
1999-01,27.6,
1999-04,30.8,
1999-07,39.4,
1999-10,45.2,
2000-01,33.8,
2000-04,35.6,
2000-07,53.2,
2000-10,46.2,
2001-01,47.6,
2001-04,50.3,
2001-07,60.9,
2001-10,61.9,
2002-01,64.4,
2002-04,72.1,
2002-07,75.6,
2002-10,72.0,
2003-01,75.0,
2003-04,81.2,
2003-07,80.6,
2003-10,77.8,
2004-01,77.0,
2004-04,79.3,
2004-07,75.4,
2004-10,76.8,
2005-01,81.1,
2005-04,80.8,
2005-07,80.3,
2005-10,81.8,
2006-01,87.2,
2006-04,88.4,
2006-07,85.0,
2006-10,84.0,
2007-01,85.0,
2007-04,85.9,
2007-07,83.9,
2007-10,84.7,
2008-01,87.7,
2008-04,94.8,
2008-07,99.9,
2008-10,96.9,
2009-01,109.7,
2009-04,118.5,
2009-07,119.7,
2009-10,123.1,
2010-01,120.1,
2010-04,115.8,
2010-07,120.1,
2010-10,122.2,
2011-01,124.3,
2011-04,128.7,
2011-07,128.2,
2011-10,124.8,
2012-01,125.3,
2012-04,128.8,
2012-07,132.3,
2012-10,134.4,
2013-01,141.0,
2013-04,153.5,
2013-07,153.4,
2013-10,172.1,
2014-01,172.3,
2014-04,177.5,
2014-07,179.3,
