"",BBFB1.Q.N.DE.W00200.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:20,
1991-01,3797.056,
1991-04,1557.606,
1991-07,2638.653,
1991-10,2508.557,
1992-01,2632.531,
1992-04,1852.255,
1992-07,2317.869,
1992-10,2104.693,
1993-01,1278.134,
1993-04,698.097,
1993-07,434.727,
1993-10,1131.243,
1994-01,-989.641,
1994-04,-1851.335,
1994-07,-1747.565,
1994-10,-537.729,
1995-01,-2108.752,
1995-04,-2475.923,
1995-07,-3098.723,
1995-10,-503.326,
1996-01,-563.332,
1996-04,-2623.694,
1996-07,-4521.863,
1996-10,979.888,
1997-01,-1977.655,
1997-04,-3898.024,
1997-07,-2802.231,
1997-10,335.198,
1998-01,-2540.151,
1998-04,-5009.655,
1998-07,-4927.272,
1998-10,-1771.493,
1999-01,-5284.382,
1999-04,-4883.791,
1999-07,-6119.388,
1999-10,-4059.461,
2000-01,-3410.111,
2000-04,-6932.541,
2000-07,-8293.986,
2000-10,-529.137,
2001-01,-5349.594,
2001-04,-7356.243,
2001-07,-6123.232,
2001-10,-2490.192,
2002-01,-6719.157,
2002-04,-10132.998,
2002-07,-8362.512,
2002-10,-5067.358,
2003-01,-5917.955,
2003-04,-9970.962,
2003-07,-6391.480,
2003-10,-1794.057,
2004-01,50.150,
2004-04,-2534.713,
2004-07,1618.529,
2004-10,6231.868,
2005-01,2334.723,
2005-04,-1864.102,
2005-07,2490.827,
2005-10,7662.064,
2006-01,6704.513,
2006-04,1605.053,
2006-07,8380.117,
2006-10,15102.128,
2007-01,9198.093,
2007-04,-3666.441,
2007-07,6798.290,
2007-10,14180.364,
2008-01,7018.888,
2008-04,-5687.377,
2008-07,6207.155,
2008-10,12504.804,
2009-01,12109.100,
2009-04,2362.370,
2009-07,13751.336,
2009-10,19219.295,
2010-01,10283.121,
2010-04,-741.692,
2010-07,8848.039,
2010-10,16848.360,
2011-01,12876.540,
2011-04,1361.310,
2011-07,14956.141,
2011-10,21305.251,
2012-01,14490.332,
2012-04,3685.751,
2012-07,14889.116,
2012-10,22193.926,
2013-01,13330.882,
2013-04,4322.572,
2013-07,11374.698,
2013-10,20288.539,
2014-01,12533.443,Provisional value
2014-04,1041.094,Provisional value
2014-07,12077.203,Provisional value
