"",BBDA1.M.DE.N.IM.S.A.BR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.BR.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Brazil / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:40:04,
1990-07,214553,
1990-08,245402,
1990-09,199595,
1990-10,225258,
1990-11,213164,
1990-12,197142,
1991-01,247107,
1991-02,221584,
1991-03,218906,
1991-04,246865,
1991-05,269056,
1991-06,243837,
1991-07,262042,
1991-08,234067,
1991-09,217307,
1991-10,226484,
1991-11,210782,
1991-12,190628,
1992-01,235857,
1992-02,203465,
1992-03,234917,
1992-04,240021,
1992-05,236666,
1992-06,243249,
1992-07,293987,
1992-08,216646,
1992-09,223287,
1992-10,220350,
1992-11,196102,
1992-12,205177,
1993-01,138114,
1993-02,161040,
1993-03,204402,
1993-04,196088,
1993-05,200441,
1993-06,184163,
1993-07,229060,
1993-08,209197,
1993-09,173936,
1993-10,208063,
1993-11,169252,
1993-12,184467,
1994-01,185111,
1994-02,186079,
1994-03,217137,
1994-04,210946,
1994-05,251658,
1994-06,233581,
1994-07,232789,
1994-08,231358,
1994-09,237787,
1994-10,229854,
1994-11,193240,
1994-12,228563,
1995-01,163570,
1995-02,202861,
1995-03,222865,
1995-04,193244,
1995-05,244536,
1995-06,213018,
1995-07,228900,
1995-08,242384,
1995-09,210948,
1995-10,211530,
1995-11,215087,
1995-12,205830,
1996-01,210951,
1996-02,186866,
1996-03,173646,
1996-04,189142,
1996-05,220128,
1996-06,250719,
1996-07,221321,
1996-08,200037,
1996-09,223940,
1996-10,214937,
1996-11,198318,
1996-12,223355,
1997-01,238710,
1997-02,202120,
1997-03,205407,
1997-04,281773,
1997-05,274968,
1997-06,325240,
1997-07,335231,
1997-08,231869,
1997-09,363592,
1997-10,309272,
1997-11,267435,
1997-12,245109,
1998-01,262374,
1998-02,237197,
1998-03,298563,
1998-04,294563,
1998-05,272624,
1998-06,307805,
1998-07,353848,
1998-08,285901,
1998-09,293071,
1998-10,336285,
1998-11,234124,
1998-12,294044,
1999-01,254578,
1999-02,207292,
1999-03,237143,
1999-04,301298,
1999-05,277120,
1999-06,336084,
1999-07,353001,
1999-08,278237,
1999-09,290628,
1999-10,234416,
1999-11,275590,
1999-12,258406,
2000-01,283400,
2000-02,324654,
2000-03,296418,
2000-04,309932,
2000-05,361681,
2000-06,344850,
2000-07,312276,
2000-08,321138,
2000-09,405276,
2000-10,327393,
2000-11,323116,
2000-12,312879,
2001-01,307158,
2001-02,329458,
2001-03,288687,
2001-04,348801,
2001-05,417109,
2001-06,384856,
2001-07,378249,
2001-08,381217,
2001-09,381301,
2001-10,346411,
2001-11,330697,
2001-12,231253,
2002-01,299335,
2002-02,242778,
2002-03,293157,
2002-04,343786,
2002-05,327451,
2002-06,323598,
2002-07,337786,
2002-08,363805,
2002-09,337401,
2002-10,359984,
2002-11,314826,
2002-12,270071,
2003-01,310085,
2003-02,286882,
2003-03,344686,
2003-04,378946,
2003-05,346041,
2003-06,344924,
2003-07,335863,
2003-08,316985,
2003-09,307088,
2003-10,344068,
2003-11,377380,
2003-12,266253,
2004-01,342842,
2004-02,269887,
2004-03,429702,
2004-04,368889,
2004-05,426902,
2004-06,351092,
2004-07,488313,
2004-08,419218,
2004-09,409182,
2004-10,405238,
2004-11,400280,
2004-12,355996,
2005-01,393437,
2005-02,350594,
2005-03,393415,
2005-04,506348,
2005-05,494066,
2005-06,537281,
2005-07,529725,
2005-08,561519,
2005-09,556373,
2005-10,548700,
2005-11,529232,
2005-12,514244,
2006-01,498629,
2006-02,546913,
2006-03,580270,
2006-04,639200,
2006-05,509471,
2006-06,507260,
2006-07,616049,
2006-08,672972,
2006-09,546916,
2006-10,753968,
2006-11,514393,
2006-12,703965,
2007-01,617577,
2007-02,722161,
2007-03,640446,
2007-04,758780,
2007-05,696354,
2007-06,662869,
2007-07,680501,
2007-08,825306,
2007-09,676167,
2007-10,749479,
2007-11,704692,
2007-12,750352,
2008-01,710924,
2008-02,606330,
2008-03,781944,
2008-04,817775,
2008-05,706233,
2008-06,809002,
2008-07,873764,
2008-08,825330,
2008-09,962024,
2008-10,867862,
2008-11,712025,
2008-12,824132,
2009-01,694631,
2009-02,546250,
2009-03,610936,
2009-04,618881,
2009-05,495968,
2009-06,670261,
2009-07,574115,
2009-08,563174,
2009-09,628969,
2009-10,607425,
2009-11,645494,
2009-12,522384,
2010-01,699444,
2010-02,549305,
2010-03,671171,
2010-04,740391,
2010-05,769636,
