"",BBEX3.M.KRW.USD.CA.AA.A01,BBEX3.M.KRW.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in the Republic of Korea / USD 1 = KRW ... (buying),
unit,KRW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:36,
1968-01,274.30,
1968-02,274.30,
1968-03,274.30,
1968-04,274.40,
1968-05,274.40,
1968-06,274.40,
1968-07,274.40,
1968-08,276.10,
1968-09,279.10,
1968-10,280.50,
1968-11,281.20,
1968-12,281.10,
1969-01,281.30,
1969-02,282.00,
1969-03,282.80,
1969-04,283.80,
1969-05,284.60,
1969-06,284.60,
1969-07,285.90,
1969-08,287.10,
1969-09,288.30,
1969-10,290.90,
1969-11,303.80,
1969-12,303.70,
1970-01,304.60,
1970-02,305.40,
1970-03,306.10,
1970-04,307.90,
1970-05,308.60,
1970-06,310.00,
1970-07,311.60,
1970-08,312.20,
1970-09,313.10,
1970-10,314.20,
1970-11,315.00,
1970-12,315.90,
1971-01,317.80,
1971-02,319.50,
1971-03,321.50,
1971-04,323.40,
1971-05,325.60,
1971-06,370.00,comment
1971-07,370.00,
1971-08,370.00,
1971-09,370.00,
1971-10,370.00,
1971-11,370.00,
1971-12,372.50,
1972-01,375.60,
1972-02,381.20,
1972-03,386.30,
1972-04,392.10,
1972-05,395.30,
1972-06,398.90,
1972-07,398.50,
1972-08,398.20,
1972-09,397.90,
1972-10,397.90,
1972-11,398.00,
1972-12,398.10,
1973-01,398.10,
1973-02,398.10,
1973-03,398.10,
1973-04,398.20,
1973-05,398.10,
1973-06,398.10,
1973-07,397.90,
1973-08,397.50,
1973-09,396.90,
1973-10,396.40,
1973-11,396.10,
1973-12,396.50,
1974-01,397.20,
1974-02,397.50,
1974-03,397.90,
1974-04,398.00,
1974-05,398.00,
1974-06,398.00,
1974-07,398.00,
1974-08,398.00,
1974-09,398.00,
1974-10,398.00,
1974-11,398.00,
1974-12,483.00,comment
1975-01,483.00,
1975-02,483.00,
1975-03,483.00,
1975-04,483.00,
1975-05,483.00,
1975-06,483.00,
1975-07,483.00,
1975-08,483.00,
1975-09,483.00,
1975-10,483.00,
1975-11,483.00,
1975-12,483.00,
1976-01,483.00,
