"",BBFN1.M.DE.N.1.L.GB.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GB.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1994-08,3.019,
1994-09,3.010,
1994-10,2.605,
1994-11,2.693,
1994-12,2.754,
1995-01,1.865,
1995-02,1.753,
1995-03,1.773,
1995-04,1.771,
1995-05,1.819,
1995-06,1.775,
1995-07,1.823,
1995-08,1.799,
1995-09,1.816,
1995-10,1.914,
1995-11,2.015,
1995-12,1.993,
1996-01,1.938,
1996-02,1.943,
1996-03,1.928,
1996-04,1.929,
1996-05,2.087,
1996-06,2.075,
1996-07,2.067,
1996-08,2.091,
1996-09,2.081,
1996-10,1.953,
1996-11,1.828,
1996-12,1.855,
1997-01,1.855,
1997-02,1.874,
1997-03,1.894,
1997-04,1.927,
1997-05,1.932,
1997-06,1.956,
1997-07,2.147,
1997-08,2.257,
1997-09,2.172,
1997-10,2.207,
1997-11,2.421,
1997-12,2.343,
1998-01,2.349,
1998-02,2.382,
1998-03,2.479,
1998-04,2.591,
1998-05,2.623,
1998-06,2.428,
1998-07,2.561,
1998-08,2.647,
1998-09,2.529,
1998-10,2.494,
1998-11,2.429,
1998-12,2.275,
1999-01,2.442,
1999-02,2.383,
1999-03,2.432,
1999-04,2.516,
1999-05,2.547,
1999-06,2.443,
1999-07,2.503,
1999-08,2.519,
1999-09,2.543,
1999-10,2.611,
1999-11,2.856,
1999-12,2.860,
2000-01,2.864,
2000-02,3.012,
2000-03,3.081,
2000-04,2.892,
2000-05,3.016,
2000-06,3.602,
2000-07,3.999,
2000-08,3.998,
2000-09,4.008,
2000-10,4.124,
2000-11,4.074,
2000-12,5.104,
2001-01,5.015,
2001-02,5.137,
2001-03,5.064,
2001-04,6.029,
2001-05,6.058,
2001-06,5.766,
2001-07,6.034,
2001-08,7.327,
2001-09,7.454,
2001-10,7.941,
2001-11,8.683,
2001-12,8.309,
2002-01,8.677,
2002-02,9.526,
2002-03,8.979,
2002-04,9.069,
2002-05,8.977,
2002-06,8.810,
2002-07,9.492,
2002-08,9.698,
2002-09,9.728,
2002-10,9.972,
2002-11,10.050,
2002-12,10.147,
2003-01,10.597,
2003-02,10.160,
2003-03,10.327,
2003-04,10.756,
2003-05,10.571,
2003-06,11.433,
2003-07,11.318,
2003-08,12.814,
2003-09,12.946,
2003-10,13.261,
2003-11,13.197,
2003-12,12.874,
2004-01,12.636,
2004-02,11.710,
2004-03,12.232,
2004-04,12.307,
2004-05,12.822,
2004-06,12.422,
2004-07,12.059,
2004-08,12.144,
2004-09,12.291,
2004-10,12.205,
2004-11,12.756,
2004-12,12.852,
2005-01,12.336,
2005-02,13.785,
2005-03,13.986,
2005-04,14.294,
2005-05,15.121,
2005-06,16.337,
2005-07,17.608,
2005-08,17.697,
2005-09,20.816,
2005-10,21.313,
2005-11,21.588,
2005-12,22.134,
2006-01,22.983,
2006-02,24.067,
2006-03,23.261,
2006-04,22.064,
2006-05,23.075,
2006-06,27.971,
2006-07,29.036,
2006-08,29.943,
2006-09,30.532,
2006-10,30.715,
2006-11,32.078,
2006-12,31.656,
2007-01,31.739,
2007-02,30.669,
2007-03,30.951,
2007-04,30.906,
2007-05,31.785,
2007-06,31.279,
2007-07,31.339,
2007-08,32.755,
2007-09,33.430,
2007-10,33.726,
2007-11,33.306,
2007-12,32.817,
2008-01,33.268,
2008-02,34.144,
2008-03,34.708,
2008-04,35.303,
2008-05,35.490,
2008-06,35.924,
2008-07,36.155,
2008-08,36.700,
2008-09,36.293,
2008-10,36.279,
2008-11,36.201,
2008-12,36.126,
2009-01,36.568,
2009-02,36.985,
2009-03,36.180,
2009-04,36.860,
2009-05,36.660,
2009-06,36.193,
2009-07,36.048,
2009-08,36.902,
2009-09,35.594,
2009-10,35.561,
2009-11,35.453,
2009-12,33.857,
2010-01,33.557,
2010-02,33.803,
2010-03,36.199,
2010-04,36.176,
2010-05,36.504,
2010-06,36.279,
2010-07,35.745,
2010-08,35.419,
2010-09,35.452,
2010-10,35.221,
2010-11,34.927,
2010-12,36.557,
2011-01,36.298,
2011-02,35.435,
2011-03,34.391,
2011-04,32.110,
2011-05,31.999,
2011-06,30.503,
2011-07,30.771,
2011-08,30.349,
2011-09,30.202,
2011-10,30.148,
2011-11,29.835,
2011-12,29.381,
2012-01,28.682,
2012-02,29.237,
2012-03,29.010,
2012-04,30.075,
2012-05,25.859,
2012-06,25.756,
2012-07,25.522,
2012-08,25.068,
2012-09,24.324,
2012-10,23.585,
2012-11,23.466,
2012-12,22.309,
2013-01,21.935,
2013-02,20.527,
2013-03,19.878,
2013-04,19.921,
2013-05,20.629,
2013-06,19.041,
2013-07,17.271,
2013-08,16.912,
2013-09,18.154,
2013-10,15.133,
2013-11,14.700,
2013-12,15.815,
2014-01,14.892,
2014-02,15.511,
2014-03,14.524,
2014-04,14.607,
2014-05,15.442,
2014-06,15.497,
2014-07,15.190,
2014-08,15.170,
2014-09,14.685,
2014-10,15.589,
2014-11,15.128,
2014-12,14.983,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
