"",BBK01.OEAH69R,BBK01.OEAH69R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:56,
2002-01,1.550,
2002-04,1.514,
2002-07,1.515,
2002-10,1.478,
2003-01,1.419,
2003-04,1.358,
2003-07,1.311,
2003-10,1.339,
2004-01,1.272,
2004-04,1.226,
2004-07,1.210,
2004-10,1.203,
2005-01,1.185,
2005-04,1.141,
2005-07,1.059,
2005-10,1.050,
2006-01,1.086,
2006-04,1.129,
2006-07,1.175,
2006-10,1.263,
2007-01,1.440,
2007-04,1.457,
2007-07,1.535,
2007-10,1.594,
2008-01,1.627,
2008-04,1.664,
2008-07,1.683,
2008-10,1.869,
2009-01,1.786,
2009-04,1.726,
2009-07,1.628,
2009-10,1.626,
2010-01,1.541,
2010-04,1.459,
2010-07,1.359,
2010-10,1.395,
2011-01,1.349,
2011-04,1.367,
2011-07,1.378,
2011-10,1.379,
2012-01,1.339,
2012-04,1.378,
2012-07,1.327,
2012-10,1.225,
2013-01,1.151,
2013-04,1.076,
2013-07,0.957,
2013-10,0.887,
2014-01,0.833,
2014-04,0.798,
2014-07,0.805,
