"",BBK01.OEYB17J,BBK01.OEYB17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:53,
2002-01,1.041,
2002-04,1.052,
2002-07,0.650,
2002-10,0.654,
2003-01,0.652,
2003-04,0.644,
2003-07,0.658,
2003-10,0.668,
2004-01,0.665,
2004-04,0.657,
2004-07,0.659,
2004-10,0.646,
2005-01,0.635,
2005-04,0.627,
2005-07,0.618,
2005-10,0.601,
2006-01,0.600,
2006-04,0.593,
2006-07,0.580,
2006-10,0.568,
2007-01,0.575,
2007-04,0.565,
2007-07,0.557,
2007-10,0.550,
2008-01,0.528,
2008-04,0.519,
2008-07,0.357,
2008-10,0.364,
2009-01,0.358,
2009-04,0.351,
2009-07,0.347,
2009-10,0.342,
2010-01,0.337,
2010-04,0.330,
2010-07,0.322,
2010-10,0.314,
2011-01,0.307,
2011-04,0.295,
2011-07,0.292,
2011-10,0.291,
2012-01,0.288,
2012-04,0.285,
2012-07,0.280,
2012-10,0.275,
2013-01,0.274,
2013-04,0.270,
2013-07,0.266,
2013-10,0.259,
2014-01,0.254,
2014-04,0.267,
2014-07,0.050,
