"",BBK01.OEAA24G,BBK01.OEAA24G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:29,
2002-01,0.410,
2002-04,0.407,
2002-07,0.385,
2002-10,0.380,
2003-01,0.374,
2003-04,0.365,
2003-07,0.356,
2003-10,0.386,
2004-01,0.323,
2004-04,0.319,
2004-07,0.305,
2004-10,0.106,
2005-01,0.027,
2005-04,0.029,
2005-07,0.028,
2005-10,0.028,
2006-01,0.026,
2006-04,0.027,
2006-07,0.029,
2006-10,0.026,
2007-01,0.026,
2007-04,0.024,
2007-07,0.022,
2007-10,0.017,
2008-01,0.015,
2008-04,0.015,
2008-07,0.015,
2008-10,0.016,
2009-01,0.015,
2009-04,0.017,
2009-07,0.017,
2009-10,0.016,
2010-01,0.055,
2010-04,0.056,
2010-07,0.052,
2010-10,0.078,
2011-01,0.090,
2011-04,0.099,
2011-07,0.103,
2011-10,0.151,
2012-01,0.163,
2012-04,0.176,
2012-07,0.181,
2012-10,0.181,
2013-01,0.182,
2013-04,0.191,
2013-07,0.190,
2013-10,0.191,
2014-01,0.191,
2014-04,0.189,
2014-07,0.184,
