"",BBFB1.M.N.DE.W1.S1.S1.T.B.SL._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SL._Z._Z._Z._T._X.N_FLAGS
"",Current account / Government goods and services / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:05,
1991-01,798.094,
1991-02,680.161,
1991-03,744.987,
1991-04,804.550,
1991-05,741.345,
1991-06,732.507,
1991-07,700.524,
1991-08,730.294,
1991-09,661.314,
1991-10,656.959,
1991-11,600.779,
1991-12,536.755,
1992-01,644.658,
1992-02,650.817,
1992-03,621.775,
1992-04,640.442,
1992-05,564.921,
1992-06,610.018,
1992-07,535.921,
1992-08,563.464,
1992-09,539.943,
1992-10,371.208,
1992-11,538.018,
1992-12,460.161,
1993-01,435.123,
1993-02,499.394,
1993-03,613.095,
1993-04,469.376,
1993-05,438.047,
1993-06,347.799,
1993-07,465.809,
1993-08,385.439,
1993-09,492.148,
1993-10,378.640,
1993-11,403.167,
1993-12,207.285,
1994-01,476.867,
1994-02,457.797,
1994-03,476.296,
1994-04,263.782,
1994-05,358.028,
1994-06,403.240,
1994-07,272.964,
1994-08,379.338,
1994-09,467.642,
1994-10,283.256,
1994-11,301.707,
1994-12,343.655,
1995-01,330.675,
1995-02,339.562,
1995-03,516.106,
1995-04,183.998,
1995-05,365.485,
1995-06,284.381,
1995-07,260.085,
1995-08,289.270,
1995-09,235.579,
1995-10,233.791,
1995-11,289.381,
1995-12,173.078,
1996-01,316.475,
1996-02,306.316,
1996-03,317.539,
1996-04,258.298,
1996-05,354.571,
1996-06,285.642,
1996-07,298.275,
1996-08,266.609,
1996-09,285.030,
1996-10,241.474,
1996-11,209.976,
1996-12,284.901,
1997-01,301.309,
1997-02,269.751,
1997-03,254.101,
1997-04,298.245,
1997-05,356.090,
1997-06,307.866,
1997-07,352.362,
1997-08,355.470,
1997-09,286.094,
1997-10,233.111,
1997-11,173.521,
1997-12,194.651,
1998-01,300.836,
1998-02,300.944,
1998-03,422.567,
1998-04,177.296,
1998-05,160.826,
1998-06,193.227,
1998-07,224.226,
1998-08,195.956,
1998-09,217.020,
1998-10,236.922,
1998-11,188.712,
1998-12,174.104,
1999-01,193.788,
1999-02,152.637,
1999-03,198.527,
1999-04,84.341,
1999-05,198.395,
1999-06,209.750,
1999-07,102.370,
1999-08,193.518,
1999-09,194.255,
1999-10,126.818,
1999-11,145.903,
1999-12,196.396,
2000-01,161.155,
2000-02,179.614,
2000-03,257.274,
2000-04,103.227,
2000-05,169.847,
2000-06,155.568,
2000-07,129.278,
2000-08,250.359,
2000-09,217.542,
2000-10,141.292,
2000-11,209.048,
2000-12,246.593,
2001-01,250.112,
2001-02,281.522,
2001-03,268.282,
2001-04,219.574,
2001-05,331.860,
2001-06,320.144,
2001-07,250.452,
2001-08,315.608,
2001-09,277.220,
2001-10,328.014,
2001-11,310.858,
2001-12,334.783,
2002-01,397.253,
2002-02,326.127,
2002-03,332.032,
2002-04,467.665,
2002-05,396.742,
2002-06,360.795,
2002-07,413.457,
2002-08,889.332,
2002-09,401.053,
2002-10,327.828,
2002-11,389.216,
2002-12,535.545,
2003-01,437.420,
2003-02,402.503,
2003-03,443.387,
2003-04,429.642,
2003-05,355.518,
2003-06,427.887,
2003-07,471.620,
2003-08,407.475,
2003-09,446.804,
2003-10,382.513,
2003-11,386.151,
2003-12,497.142,
2004-01,416.678,
2004-02,420.647,
2004-03,446.521,
2004-04,474.101,
2004-05,456.977,
2004-06,519.218,
2004-07,485.211,
2004-08,443.914,
2004-09,503.871,
2004-10,384.335,
2004-11,374.254,
2004-12,422.847,
2005-01,343.924,
2005-02,321.819,
2005-03,353.511,
2005-04,284.640,
2005-05,267.887,
2005-06,275.434,
2005-07,248.098,
2005-08,368.785,
2005-09,284.764,
2005-10,267.081,
2005-11,271.743,
2005-12,400.012,
2006-01,273.575,
2006-02,320.221,
2006-03,266.387,
2006-04,376.013,
2006-05,314.328,
2006-06,382.544,
2006-07,252.151,
2006-08,270.299,
2006-09,301.953,
2006-10,269.353,
2006-11,320.290,
2006-12,388.434,
2007-01,271.902,
2007-02,243.063,
2007-03,298.033,
2007-04,285.919,
2007-05,299.415,
2007-06,311.867,
2007-07,291.960,
2007-08,262.273,
2007-09,295.730,
2007-10,267.426,
2007-11,246.073,
2007-12,235.462,
2008-01,158.598,
2008-02,190.923,
2008-03,218.467,
2008-04,222.586,
2008-05,215.705,
2008-06,167.338,
2008-07,228.081,
2008-08,203.063,
2008-09,216.603,
2008-10,187.083,
2008-11,162.049,
2008-12,205.409,
2009-01,213.361,
2009-02,237.696,
2009-03,313.573,
2009-04,228.255,
2009-05,220.561,
2009-06,221.425,
2009-07,195.948,
2009-08,222.199,
2009-09,210.087,
2009-10,196.546,
2009-11,215.514,
2009-12,169.298,
2010-01,207.378,
2010-02,249.267,
2010-03,237.189,
2010-04,216.884,
2010-05,246.695,
2010-06,224.450,
2010-07,203.300,
2010-08,235.518,
2010-09,249.654,
2010-10,252.828,
2010-11,317.394,
2010-12,222.118,
2011-01,264.750,
2011-02,261.668,
2011-03,251.554,
2011-04,269.698,
2011-05,249.603,
2011-06,237.220,
2011-07,234.596,
2011-08,232.504,
2011-09,233.531,
2011-10,240.418,
2011-11,258.068,
2011-12,205.348,
2012-01,253.850,
2012-02,251.147,
2012-03,262.967,
2012-04,268.580,
2012-05,281.235,
2012-06,282.525,
2012-07,260.373,
2012-08,262.069,
2012-09,255.824,
2012-10,279.514,
2012-11,226.682,
2012-12,231.905,
2013-01,262.694,
2013-02,261.777,
2013-03,270.315,
2013-04,268.287,
2013-05,272.906,
2013-06,265.990,
2013-07,261.442,
2013-08,230.499,
2013-09,268.139,
2013-10,258.970,
2013-11,264.693,
2013-12,198.134,
2014-01,259.321,
2014-02,240.972,Provisional value
2014-03,254.199,Provisional value
2014-04,287.515,Provisional value
2014-05,239.235,Provisional value
2014-06,252.162,Provisional value
2014-07,235.856,Provisional value
2014-08,255.267,Provisional value
2014-09,227.130,
2014-10,254.819,
2014-11,233.953,
2014-12,185.400,Provisional value
