"",BBK01.OEAA13O,BBK01.OEAA13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:29,
2002-01,57.753,
2002-04,58.198,
2002-07,58.999,
2002-10,60.628,
2003-01,60.356,
2003-04,60.296,
2003-07,55.961,
2003-10,60.881,
2004-01,60.151,
2004-04,59.568,
2004-07,58.716,
2004-10,59.408,
2005-01,98.334,
2005-04,98.982,
2005-07,99.628,
2005-10,99.777,
2006-01,99.554,
2006-04,99.651,
2006-07,99.905,
2006-10,100.177,
2007-01,99.610,
2007-04,100.029,
2007-07,99.679,
2007-10,98.901,
2008-01,98.140,
2008-04,98.052,
2008-07,93.200,
2008-10,91.826,
2009-01,91.606,
2009-04,92.299,
2009-07,92.867,
2009-10,94.534,
2010-01,94.018,
2010-04,94.415,
2010-07,95.656,
2010-10,95.812,
2011-01,95.052,
2011-04,95.753,
2011-07,96.547,
2011-10,96.428,
2012-01,97.656,
2012-04,99.456,
2012-07,99.440,
2012-10,99.687,
2013-01,99.132,
2013-04,98.994,
2013-07,104.779,
2013-10,105.334,
2014-01,106.345,
2014-04,106.258,
2014-07,106.592,
