"",BBK01.OEYB07L,BBK01.OEYB07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:07,
2002-01,11.265,
2002-04,11.364,
2002-07,12.023,
2002-10,14.126,
2003-01,14.302,
2003-04,14.750,
2003-07,16.017,
2003-10,16.047,
2004-01,16.891,
2004-04,17.267,
2004-07,17.329,
2004-10,18.050,
2005-01,17.276,
2005-04,17.554,
2005-07,19.017,
2005-10,15.953,
2006-01,15.563,
2006-04,15.776,
2006-07,14.789,
2006-10,14.322,
2007-01,14.836,
2007-04,14.519,
2007-07,16.144,
2007-10,17.970,
2008-01,19.186,
2008-04,16.962,
2008-07,20.075,
2008-10,18.809,
2009-01,17.314,
2009-04,17.476,
2009-07,14.279,
2009-10,13.825,
2010-01,13.159,
2010-04,12.915,
2010-07,12.845,
2010-10,12.452,
2011-01,11.909,
2011-04,11.899,
2011-07,11.657,
2011-10,11.866,
2012-01,11.881,
2012-04,11.788,
2012-07,11.653,
2012-10,11.358,
2013-01,11.440,
2013-04,11.837,
2013-07,14.006,
2013-10,13.923,
2014-01,14.087,
2014-04,13.818,
2014-07,12.934,
