"",BBFN1.M.DE.N.1.L.CN.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CN.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2005-04,0.097,
2005-05,0.093,
2005-06,0.112,
2005-07,0.123,
2005-08,0.131,
2005-09,0.116,
2005-10,0.108,
2005-11,0.116,
2005-12,0.099,
2006-01,0.098,
2006-02,0.093,
2006-03,0.114,
2006-04,0.116,
2006-05,0.117,
2006-06,0.127,
2006-07,0.133,
2006-08,0.129,
2006-09,0.139,
2006-10,0.140,
2006-11,0.126,
2006-12,0.135,
2007-01,0.154,
2007-02,0.154,
2007-03,0.143,
2007-04,0.135,
2007-05,0.137,
2007-06,0.135,
2007-07,0.141,
2007-08,0.131,
2007-09,0.141,
2007-10,0.138,
2007-11,0.137,
2007-12,0.132,
2008-01,0.147,
2008-02,0.179,
2008-03,0.198,
2008-04,0.175,
2008-05,0.175,
2008-06,0.164,
2008-07,0.180,
2008-08,0.242,
2008-09,0.325,
2008-10,0.319,
2008-11,0.344,
2008-12,0.304,
2009-01,0.309,
2009-02,0.297,
2009-03,0.298,
2009-04,0.316,
2009-05,0.316,
2009-06,0.323,
2009-07,0.307,
2009-08,0.293,
2009-09,0.317,
2009-10,0.285,
2009-11,0.252,
2009-12,0.240,
2010-01,0.263,
2010-02,0.258,
2010-03,0.295,
2010-04,0.296,
2010-05,0.314,
2010-06,0.358,
2010-07,0.352,
2010-08,0.364,
2010-09,0.354,
2010-10,0.339,
2010-11,0.362,
2010-12,0.402,
2011-01,0.376,
2011-02,0.299,
2011-03,0.382,
2011-04,0.399,
2011-05,0.377,
2011-06,0.421,
2011-07,.,No value available
2011-08,.,No value available
2011-09,0.542,
2011-10,0.531,
2011-11,0.573,
2011-12,0.577,
2012-01,0.563,
2012-02,0.571,
2012-03,0.636,
2012-04,0.670,
2012-05,0.661,
2012-06,0.613,
2012-07,0.655,
2012-08,0.656,
2012-09,0.705,
2012-10,0.676,
2012-11,0.701,
2012-12,0.660,
2013-01,0.541,
2013-02,0.618,
2013-03,0.619,
2013-04,0.551,
2013-05,0.579,
2013-06,0.645,
2013-07,0.523,
2013-08,0.547,
2013-09,0.551,
2013-10,0.592,
2013-11,0.719,
2013-12,0.599,
2014-01,0.694,
2014-02,0.689,
2014-03,0.778,
2014-04,0.640,
2014-05,0.638,
2014-06,0.753,
2014-07,0.697,
2014-08,0.729,
2014-09,1.132,
2014-10,0.957,
2014-11,0.926,
2014-12,1.004,
"",General: Excluding Hong Kong.,
