"",BBK01.OEBB14I,BBK01.OEBB14I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:53,
2002-01,1.238,
2002-04,1.215,
2002-07,1.177,
2002-10,1.219,
2003-01,1.113,
2003-04,1.140,
2003-07,0.955,
2003-10,0.931,
2004-01,0.830,
2004-04,0.828,
2004-07,0.804,
2004-10,0.768,
2005-01,0.794,
2005-04,0.777,
2005-07,0.760,
2005-10,0.708,
2006-01,0.607,
2006-04,0.590,
2006-07,0.521,
2006-10,0.600,
2007-01,0.560,
2007-04,0.518,
2007-07,0.473,
2007-10,0.462,
2008-01,0.455,
2008-04,0.448,
2008-07,0.451,
2008-10,0.463,
2009-01,0.488,
2009-04,0.502,
2009-07,0.486,
2009-10,0.490,
2010-01,0.482,
2010-04,0.467,
2010-07,0.490,
2010-10,0.451,
2011-01,0.456,
2011-04,0.450,
2011-07,0.437,
2011-10,0.407,
2012-01,0.406,
2012-04,0.430,
2012-07,0.405,
2012-10,0.424,
2013-01,0.405,
2013-04,0.403,
2013-07,0.391,
2013-10,0.388,
2014-01,0.381,
2014-04,0.368,
2014-07,0.379,
