"",BBK01.OEAM09M,BBK01.OEAM09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:04,
2002-01,0.029,
2002-04,0.027,
2002-07,0.025,
2002-10,0.025,
2003-01,0.027,
2003-04,0.020,
2003-07,0.018,
2003-10,0.018,
2004-01,0.020,
2004-04,0.022,
2004-07,0.023,
2004-10,0.018,
2005-01,0.022,
2005-04,0.025,
2005-07,0.024,
2005-10,0.024,
2006-01,0.026,
2006-04,0.026,
2006-07,0.025,
2006-10,0.026,
2007-01,0.034,
2007-04,0.039,
2007-07,0.042,
2007-10,0.043,
2008-01,0.031,
2008-04,0.027,
2008-07,0.023,
2008-10,0.024,
2009-01,0.025,
2009-04,0.028,
2009-07,0.032,
2009-10,0.032,
2010-01,0.027,
2010-04,0.022,
2010-07,0.020,
2010-10,0.015,
2011-01,0.038,
2011-04,0.039,
2011-07,0.041,
2011-10,0.041,
2012-01,0.034,
2012-04,0.044,
2012-07,0.040,
2012-10,0.038,
2013-01,0.041,
2013-04,0.032,
2013-07,0.034,
2013-10,0.035,
2014-01,0.039,
2014-04,0.039,
2014-07,0.046,
