"",BBK01.OELB19H,BBK01.OELB19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:26,
2002-01,3.637,
2002-04,3.527,
2002-07,3.444,
2002-10,3.318,
2003-01,3.186,
2003-04,3.089,
2003-07,3.062,
2003-10,3.015,
2004-01,2.947,
2004-04,2.903,
2004-07,2.867,
2004-10,3.230,
2005-01,3.171,
2005-04,3.212,
2005-07,3.270,
2005-10,3.283,
2006-01,3.232,
2006-04,3.262,
2006-07,3.273,
2006-10,3.207,
2007-01,3.148,
2007-04,3.113,
2007-07,3.105,
2007-10,3.023,
2008-01,2.933,
2008-04,2.912,
2008-07,2.869,
2008-10,2.842,
2009-01,2.883,
2009-04,2.863,
2009-07,2.935,
2009-10,2.941,
2010-01,2.907,
2010-04,2.953,
2010-07,2.996,
2010-10,3.003,
2011-01,3.024,
2011-04,3.112,
2011-07,3.219,
2011-10,3.263,
2012-01,3.268,
2012-04,3.017,
2012-07,3.047,
2012-10,3.039,
2013-01,3.023,
2013-04,3.087,
2013-07,3.162,
2013-10,3.151,
2014-01,3.112,
2014-04,3.097,
2014-07,3.143,
