"",BBK01.OEAO04I,BBK01.OEAO04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:00,
2002-01,-0.253,
2002-04,-0.808,
2002-07,-0.125,
2002-10,0.041,
2003-01,-0.060,
2003-04,-0.202,
2003-07,-0.210,
2003-10,-0.205,
2004-01,-0.252,
2004-04,-0.267,
2004-07,-0.112,
2004-10,-0.060,
2005-01,-0.070,
2005-04,-0.189,
2005-07,-0.167,
2005-10,-0.132,
2006-01,-0.136,
2006-04,-0.115,
2006-07,-0.222,
2006-10,-0.112,
2007-01,0.392,
2007-04,-0.031,
2007-07,0.146,
2007-10,0.071,
2008-01,-0.088,
2008-04,0.041,
2008-07,-0.106,
2008-10,1.031,
2009-01,-0.091,
2009-04,-0.415,
2009-07,-0.275,
2009-10,-0.683,
2010-01,-0.573,
2010-04,-0.203,
2010-07,-0.150,
2010-10,0.235,
2011-01,-0.008,
2011-04,-0.227,
2011-07,-0.158,
2011-10,-0.067,
2012-01,0.141,
2012-04,-0.170,
2012-07,-0.288,
2012-10,-0.129,
2013-01,-0.241,
2013-04,-0.184,
2013-07,-0.222,
2013-10,-0.128,
2014-01,-0.115,
2014-04,-0.116,
2014-07,0.234,
