"",BBK01.OEAA21R,BBK01.OEAA21R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:40,
2002-01,4.228,
2002-04,4.208,
2002-07,4.246,
2002-10,4.291,
2003-01,4.398,
2003-04,4.399,
2003-07,4.387,
2003-10,4.470,
2004-01,4.417,
2004-04,4.378,
2004-07,4.302,
2004-10,4.343,
2005-01,4.336,
2005-04,4.289,
2005-07,4.335,
2005-10,4.290,
2006-01,4.370,
2006-04,4.470,
2006-07,4.500,
2006-10,4.586,
2007-01,4.551,
2007-04,4.281,
2007-07,4.289,
2007-10,4.401,
2008-01,8.993,
2008-04,4.759,
2008-07,4.786,
2008-10,5.056,
2009-01,5.106,
2009-04,5.217,
2009-07,5.234,
2009-10,5.561,
2010-01,5.753,
2010-04,5.868,
2010-07,6.069,
2010-10,6.206,
2011-01,6.353,
2011-04,6.471,
2011-07,6.571,
2011-10,6.780,
2012-01,6.915,
2012-04,7.028,
2012-07,7.311,
2012-10,7.541,
2013-01,7.617,
2013-04,7.765,
2013-07,7.896,
2013-10,8.124,
2014-01,8.214,
2014-04,8.152,
2014-07,8.206,
