"",BBK01.TUE367,BBK01.TUE367_FLAGS
"",Deposits of non-banks (non-MFIs) in the euro area / Total / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:04,
1997-09,4478543,
1997-10,4490743,
1997-11,4509569,
1997-12,4620615,
1998-01,4598431,
1998-02,4622436,
1998-03,4605785,
1998-04,4637236,
1998-05,4662008,
1998-06,4701035,
1998-07,4674634,
1998-08,4685533,
1998-09,4686573,
1998-10,4694917,
1998-11,4729142,
1998-12,4862038,
1999-01,4855880,
1999-02,4835103,
1999-03,4835501,
1999-04,4839151,
1999-05,4867433,
1999-06,4908130,
1999-07,4924502,
1999-08,4906423,
1999-09,4915825,
1999-10,4937063,
1999-11,4985940,
1999-12,5063066,
2000-01,5068696,
2000-02,5081064,
2000-03,5072279,
2000-04,5110327,
2000-05,5090216,
2000-06,5127094,
2000-07,5113397,
2000-08,5119615,
2000-09,5147155,
2000-10,5167569,
2000-11,5182647,
2000-12,5259837,
2001-01,5306768,
2001-02,5322644,
2001-03,5347446,
2001-04,5380699,
2001-05,5400603,
2001-06,5465200,
2001-07,5440190,
2001-08,5421693,
2001-09,5474285,
2001-10,5493029,
2001-11,5552504,
2001-12,5698093,
2002-01,5669584,
2002-02,5671292,
2002-03,5686293,
2002-04,5711201,
2002-05,5713502,
2002-06,5749286,
2002-07,5725699,
2002-08,5688041,
2002-09,5730149,
2002-10,5745402,
2002-11,5799512,
2002-12,5879465,
2003-01,5869904,
2003-02,5912951,
2003-03,5963819,
2003-04,5979508,
2003-05,6041221,
2003-06,6100685,
2003-07,6093318,
2003-08,6089248,
2003-09,6117974,
2003-10,6118451,
2003-11,6179923,
2003-12,6241667,
2004-01,6244562,
2004-02,6263737,
2004-03,6290546,
2004-04,6322125,
2004-05,6366748,
2004-06,6433048,
2004-07,6417402,
2004-08,6384393,
2004-09,6444025,
2004-10,6476443,
2004-11,6503931,
2004-12,6589572,
2005-01,6624103,
2005-02,6660793,
2005-03,6684229,
2005-04,6730717,
2005-05,6760134,
2005-06,6928431,
2005-07,6953803,
2005-08,6877211,
2005-09,6967355,
2005-10,7005600,
2005-11,7038704,
2005-12,7203720,
2006-01,7211690,
2006-02,7245117,
2006-03,7313851,
2006-04,7403073,
2006-05,7406160,
2006-06,7521513,
2006-07,7506279,
2006-08,7483240,
2006-09,7600787,
2006-10,7613081,
2006-11,7677990,
2006-12,7848792,
2007-01,7849382,
2007-02,7875039,
2007-03,8015728,
2007-04,8058008,
2007-05,8155447,
2007-06,8280794,
2007-07,8288889,
2007-08,8260606,
2007-09,8378242,
2007-10,8604618,
2007-11,8687136,
2007-12,8822827,
2008-01,8879954,
2008-02,8914955,
2008-03,9005415,
2008-04,9085724,
2008-05,9142622,
2008-06,9233336,
2008-07,9215380,
2008-08,9238311,
2008-09,9310113,
2008-10,9480782,
2008-11,9616276,
2008-12,9648338,
2009-01,9773012,
2009-02,9789268,
2009-03,9817797,
2009-04,9880667,
2009-05,9886660,
2009-06,9957452,
2009-07,9887316,
2009-08,9857514,
2009-09,9895936,
2009-10,9941571,
2009-11,9922750,
2009-12,9985637,
2010-01,10011984,
2010-02,9995061,
2010-03,9983147,
2010-04,10030124,
2010-05,10089176,
2010-06,10217470,
2010-07,10209301,
2010-08,10207445,
2010-09,10206149,
2010-10,10308862,
2010-11,10391078,
2010-12,10388249,
2011-01,10423665,
2011-02,10432903,
2011-03,10440108,
2011-04,10493251,
2011-05,10480943,
2011-06,10555919,
2011-07,10524012,
2011-08,10482875,
2011-09,10534113,
2011-10,10539889,
2011-11,10536410,
2011-12,10626238,
2012-01,10678519,
2012-02,10704615,
2012-03,10731406,
2012-04,10690001,
2012-05,10707243,
2012-06,10754812,
2012-07,10686722,
2012-08,10643163,
2012-09,10716199,
2012-10,10745461,
2012-11,10807583,
2012-12,10809476,
2013-01,10821475,
2013-02,10836470,
2013-03,10915485,
2013-04,10894963,
2013-05,10966549,
2013-06,11010683,
2013-07,10957989,
2013-08,10922743,
2013-09,10924435,
2013-10,10915156,
2013-11,10961796,
2013-12,10900416,
2014-01,10919074,
2014-02,10949151,
2014-03,10966618,
2014-04,10948146,
2014-05,11020671,
2014-06,11050708,
2014-07,11022797,
2014-08,11015114,
2014-09,11017407,
2014-10,11004762,
2014-11,11109668,
2014-12,11154895,
2015-01,11291722,
