"",BBK01.OEAM04I,BBK01.OEAM04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:29,
2002-01,0.888,
2002-04,1.166,
2002-07,1.459,
2002-10,1.750,
2003-01,3.031,
2003-04,2.549,
2003-07,1.695,
2003-10,2.071,
2004-01,2.251,
2004-04,2.424,
2004-07,3.305,
2004-10,3.172,
2005-01,3.187,
2005-04,2.896,
2005-07,2.551,
2005-10,2.643,
2006-01,3.249,
2006-04,4.092,
2006-07,3.329,
2006-10,3.281,
2007-01,2.972,
2007-04,2.807,
2007-07,5.394,
2007-10,4.238,
2008-01,3.587,
2008-04,3.814,
2008-07,3.582,
2008-10,3.488,
2009-01,3.184,
2009-04,3.976,
2009-07,3.582,
2009-10,2.462,
2010-01,4.472,
2010-04,4.324,
2010-07,3.842,
2010-10,2.252,
2011-01,3.314,
2011-04,3.820,
2011-07,6.155,
2011-10,4.597,
2012-01,6.298,
2012-04,8.828,
2012-07,7.462,
2012-10,7.786,
2013-01,10.036,
2013-04,13.182,
2013-07,12.766,
2013-10,10.600,
2014-01,11.694,
2014-04,13.069,
2014-07,12.210,
