"",BBFB1.Q.N.DE.CZ.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:48,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,152.002,
1993-04,171.652,
1993-07,184.631,
1993-10,158.500,
1994-01,171.432,
1994-04,205.911,
1994-07,215.978,
1994-10,175.218,
1995-01,204.553,
1995-04,232.797,
1995-07,250.288,
1995-10,212.741,
1996-01,320.877,
1996-04,365.794,
1996-07,379.135,
1996-10,320.313,
1997-01,347.186,
1997-04,425.020,
1997-07,427.356,
1997-10,366.632,
1998-01,402.375,
1998-04,451.281,
1998-07,472.567,
1998-10,418.335,
1999-01,406.814,
1999-04,484.509,
1999-07,511.369,
1999-10,470.515,
2000-01,519.054,
2000-04,598.583,
2000-07,633.987,
2000-10,535.396,
2001-01,558.016,
2001-04,642.749,
2001-07,677.048,
2001-10,546.649,
2002-01,485.606,
2002-04,572.078,
2002-07,603.774,
2002-10,546.445,
2003-01,617.336,
2003-04,742.362,
2003-07,771.565,
2003-10,661.425,
2004-01,646.710,
2004-04,774.112,
2004-07,687.248,
2004-10,803.574,
2005-01,936.962,
2005-04,932.415,
2005-07,1064.703,
2005-10,922.438,
2006-01,922.013,
2006-04,1054.147,
2006-07,1026.230,
2006-10,981.539,
2007-01,964.940,
2007-04,1012.931,
2007-07,1092.004,
2007-10,1029.581,
2008-01,1082.581,
2008-04,1183.505,
2008-07,1137.213,
2008-10,1092.452,
2009-01,931.629,
2009-04,869.655,
2009-07,1100.436,
2009-10,956.858,
2010-01,919.643,
2010-04,988.899,
2010-07,1000.753,
2010-10,1015.452,
2011-01,905.842,
2011-04,1028.778,
2011-07,1096.469,
2011-10,1070.763,
2012-01,962.398,
2012-04,964.871,
2012-07,1096.396,
2012-10,1005.255,
2013-01,1067.751,
2013-04,1001.509,
2013-07,1134.333,
2013-10,1067.873,
2014-01,928.232,Provisional value
2014-04,1032.438,Provisional value
2014-07,1117.014,Provisional value
