"",BBK01.OECB11O,BBK01.OECB11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:02,
2002-01,0.248,
2002-04,0.151,
2002-07,0.149,
2002-10,0.140,
2003-01,0.127,
2003-04,0.138,
2003-07,0.157,
2003-10,0.165,
2004-01,0.164,
2004-04,0.155,
2004-07,0.171,
2004-10,0.163,
2005-01,0.169,
2005-04,0.163,
2005-07,0.175,
2005-10,0.149,
2006-01,0.141,
2006-04,0.143,
2006-07,0.155,
2006-10,0.131,
2007-01,0.119,
2007-04,0.118,
2007-07,0.124,
2007-10,0.107,
2008-01,0.104,
2008-04,0.148,
2008-07,0.147,
2008-10,0.155,
2009-01,0.181,
2009-04,0.226,
2009-07,0.198,
2009-10,0.195,
2010-01,0.192,
2010-04,0.232,
2010-07,0.261,
2010-10,0.282,
2011-01,0.281,
2011-04,0.263,
2011-07,0.260,
2011-10,0.221,
2012-01,0.230,
2012-04,0.235,
2012-07,0.231,
2012-10,0.240,
2013-01,0.249,
2013-04,0.257,
2013-07,0.269,
2013-10,0.276,
2014-01,0.287,
2014-04,0.337,
2014-07,0.338,
