"",BBK01.OEXM04R,BBK01.OEXM04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:52,
2002-01,0.206,
2002-04,0.191,
2002-07,0.186,
2002-10,0.153,
2003-01,0.145,
2003-04,0.159,
2003-07,0.154,
2003-10,0.157,
2004-01,0.150,
2004-04,0.117,
2004-07,0.117,
2004-10,0.139,
2005-01,0.125,
2005-04,0.101,
2005-07,0.113,
2005-10,0.111,
2006-01,0.129,
2006-04,0.125,
2006-07,0.148,
2006-10,0.160,
2007-01,0.176,
2007-04,0.220,
2007-07,0.225,
2007-10,0.206,
2008-01,0.311,
2008-04,0.323,
2008-07,0.278,
2008-10,0.222,
2009-01,0.112,
2009-04,0.078,
2009-07,0.022,
2009-10,0.004,
2010-01,0.010,
2010-04,0.008,
2010-07,0.005,
2010-10,0.006,
2011-01,0.085,
2011-04,0.088,
2011-07,0.107,
2011-10,0.241,
2012-01,0.379,
2012-04,0.348,
2012-07,0.401,
2012-10,0.444,
2013-01,0.400,
2013-04,0.487,
2013-07,0.503,
2013-10,0.402,
2014-01,0.459,
2014-04,0.443,
2014-07,0.408,
