"",BBK01.OEBB11M,BBK01.OEBB11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:28,
2002-01,2.437,
2002-04,2.191,
2002-07,2.173,
2002-10,2.273,
2003-01,2.469,
2003-04,2.443,
2003-07,2.612,
2003-10,2.571,
2004-01,2.583,
2004-04,2.754,
2004-07,3.020,
2004-10,2.568,
2005-01,2.722,
2005-04,1.405,
2005-07,1.410,
2005-10,1.403,
2006-01,1.437,
2006-04,1.413,
2006-07,1.550,
2006-10,1.671,
2007-01,1.537,
2007-04,1.497,
2007-07,1.583,
2007-10,2.049,
2008-01,1.942,
2008-04,2.012,
2008-07,1.992,
2008-10,2.038,
2009-01,2.124,
2009-04,2.218,
2009-07,2.236,
2009-10,2.125,
2010-01,2.158,
2010-04,1.877,
2010-07,1.906,
2010-10,1.961,
2011-01,1.932,
2011-04,1.975,
2011-07,2.153,
2011-10,2.486,
2012-01,2.650,
2012-04,2.870,
2012-07,3.002,
2012-10,3.144,
2013-01,3.172,
2013-04,3.332,
2013-07,3.421,
2013-10,3.427,
2014-01,3.368,
2014-04,3.330,
2014-07,3.294,
