"",BBK01.OEBB23V,BBK01.OEBB23V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:18,
2002-01,0.030,
2002-04,0.031,
2002-07,0.034,
2002-10,0.037,
2003-01,0.036,
2003-04,0.034,
2003-07,0.036,
2003-10,0.043,
2004-01,0.066,
2004-04,0.065,
2004-07,0.067,
2004-10,0.067,
2005-01,0.067,
2005-04,0.067,
2005-07,0.046,
2005-10,0.068,
2006-01,0.068,
2006-04,0.057,
2006-07,0.063,
2006-10,0.100,
2007-01,0.098,
2007-04,0.103,
2007-07,0.096,
2007-10,0.065,
2008-01,0.077,
2008-04,0.075,
2008-07,0.076,
2008-10,0.039,
2009-01,0.038,
2009-04,0.038,
2009-07,0.046,
2009-10,0.031,
2010-01,0.034,
2010-04,0.032,
2010-07,0.045,
2010-10,0.045,
2011-01,0.045,
2011-04,0.045,
2011-07,0.045,
2011-10,0.039,
2012-01,0.042,
2012-04,0.037,
2012-07,0.030,
2012-10,0.025,
2013-01,0.013,
2013-04,0.013,
2013-07,0.013,
2013-10,0.051,
2014-01,0.052,
2014-04,0.045,
2014-07,0.026,
