"",BBK01.OEAH46H,BBK01.OEAH46H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:00,
2002-01,6.891,
2002-04,6.625,
2002-07,6.706,
2002-10,6.611,
2003-01,6.392,
2003-04,6.011,
2003-07,5.909,
2003-10,5.686,
2004-01,5.011,
2004-04,4.601,
2004-07,4.909,
2004-10,4.713,
2005-01,4.788,
2005-04,4.758,
2005-07,4.469,
2005-10,4.692,
2006-01,4.894,
2006-04,5.158,
2006-07,5.623,
2006-10,6.237,
2007-01,6.330,
2007-04,6.362,
2007-07,7.539,
2007-10,8.573,
2008-01,8.609,
2008-04,8.991,
2008-07,9.580,
2008-10,10.225,
2009-01,7.216,
2009-04,6.027,
2009-07,5.210,
2009-10,4.711,
2010-01,4.161,
2010-04,3.844,
2010-07,3.662,
2010-10,3.660,
2011-01,3.469,
2011-04,3.534,
2011-07,3.614,
2011-10,3.839,
2012-01,3.644,
2012-04,3.415,
2012-07,3.139,
2012-10,2.787,
2013-01,2.517,
2013-04,2.354,
2013-07,2.561,
2013-10,2.621,
2014-01,2.644,
2014-04,2.519,
2014-07,2.790,
