"",BBK01.OEHB01M,BBK01.OEHB01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:55,
2002-01,59.856,
2002-04,60.216,
2002-07,60.685,
2002-10,60.824,
2003-01,62.748,
2003-04,63.291,
2003-07,63.678,
2003-10,63.817,
2004-01,63.585,
2004-04,63.867,
2004-07,63.969,
2004-10,63.843,
2005-01,62.784,
2005-04,62.944,
2005-07,62.995,
2005-10,62.957,
2006-01,63.045,
2006-04,63.202,
2006-07,63.095,
2006-10,62.926,
2007-01,62.748,
2007-04,62.501,
2007-07,62.313,
2007-10,62.150,
2008-01,62.250,
2008-04,62.444,
2008-07,63.064,
2008-10,62.866,
2009-01,63.002,
2009-04,62.880,
2009-07,63.012,
2009-10,62.885,
2010-01,63.034,
2010-04,63.750,
2010-07,63.959,
2010-10,64.248,
2011-01,64.571,
2011-04,64.943,
2011-07,65.194,
2011-10,65.270,
2012-01,65.463,
2012-04,65.760,
2012-07,66.447,
2012-10,66.417,
2013-01,66.534,
2013-04,66.799,
2013-07,67.521,
2013-10,67.730,
2014-01,67.593,
2014-04,68.006,
2014-07,68.410,
