"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.U3.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.U3.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:52,
2009-09,51243,
2009-10,53080,
2009-11,54040,
2009-12,54791,
2010-01,55476,
2010-02,56356,
2010-03,58220,
2010-04,59658,
2010-05,59653,
2010-06,60255,
2010-07,61429,
2010-08,63651,
2010-09,65330,
2010-10,66952,
2010-11,66693,
2010-12,66716,
2011-01,66007,
2011-02,65970,
2011-03,66519,
2011-04,66897,
2011-05,68679,
2011-06,68925,
2011-07,69535,
2011-08,69128,
2011-09,68727,
2011-10,64885,
2011-11,67777,
2011-12,68710,
2012-01,70732,
2012-02,73177,
2012-03,74713,
2012-04,75862,
2012-05,76980,
2012-06,77785,
2012-07,80284,
2012-08,80387,
2012-09,79996,
2012-10,79463,
2012-11,79165,
2012-12,79998,
2013-01,76063,
2013-02,77114,
2013-03,78203,
2013-04,79138,
2013-05,78481,
2013-06,76646,
2013-07,77437,
2013-08,77094,
2013-09,77374,
2013-10,77230,
2013-11,78112,
2013-12,77213,
2014-01,76565,
2014-02,77631,
2014-03,78170,
2014-04,78320,
2014-05,79656,
2014-06,82554,
2014-07,82490,
2014-08,83597,
2014-09,85364,
2014-10,86390,
2014-11,88798,
