"",BBK01.PQU355,BBK01.PQU355_FLAGS
"",Lending to domestic enterprises / Short-term / Building and loan associations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:27,
1999-01,0.097,
1999-04,0.069,
1999-07,0.125,
1999-10,0.099,
2000-01,0.078,
2000-04,0.066,
2000-07,0.053,
2000-10,0.045,
2001-01,0.073,
2001-04,0.076,
2001-07,0.079,
2001-10,0.094,
2002-01,0.100,
2002-04,0.124,
2002-07,0.113,
2002-10,0.121,
2003-01,0.115,
2003-04,0.068,
2003-07,0.070,
2003-10,0.260,
2004-01,0.161,
2004-04,0.198,
2004-07,0.211,
2004-10,0.258,
2005-01,0.229,
2005-04,0.203,
2005-07,0.179,
2005-10,0.185,
2006-01,0.184,
2006-04,0.156,
2006-07,0.159,
2006-10,0.380,
2007-01,0.407,
2007-04,0.347,
2007-07,0.381,
2007-10,0.092,
2008-01,0.089,
2008-04,0.085,
2008-07,0.087,
2008-10,0.087,
2009-01,0.111,
2009-04,0.109,
2009-07,0.098,
2009-10,0.091,
2010-01,0.101,
2010-04,0.097,
2010-07,0.066,
2010-10,0.041,
2011-01,0.054,
2011-04,0.056,
2011-07,0.064,
2011-10,0.087,
2012-01,0.153,
2012-04,0.135,
2012-07,0.108,
2012-10,0.092,
2013-01,0.105,
2013-04,0.080,
2013-07,0.082,
2013-10,0.090,
2014-01,0.105,
2014-04,0.103,
2014-07,0.187,
2014-10,0.105,
