"",BBSF2.M.1.T.00000.SON01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Other funds / Net asset value,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:38,
2009-09,2027,
2009-10,2339,
2009-11,4693,
2009-12,5078,
2010-01,5051,
2010-02,5148,
2010-03,5670,
2010-04,5755,
2010-05,5970,
2010-06,6035,
2010-07,6677,
2010-08,6880,
2010-09,6746,
2010-10,7024,
2010-11,7371,
2010-12,7391,
2011-01,7490,
2011-02,7720,
2011-03,7698,
2011-04,7927,
2011-05,8212,
2011-06,8264,
2011-07,8282,
2011-08,9269,
2011-09,9230,
2011-10,12688,
2011-11,16792,
2011-12,16322,
2012-01,16808,
2012-02,16894,
2012-03,16669,
2012-04,16505,
2012-05,16293,
2012-06,16102,
2012-07,16402,
2012-08,16869,
2012-09,17104,
2012-10,17170,
2012-11,18446,
2012-12,17858,
2013-01,18074,
2013-02,18193,
2013-03,18758,
2013-04,19865,
2013-05,20848,
2013-06,20346,
2013-07,21019,
2013-08,20738,
2013-09,21490,
2013-10,22155,
2013-11,22015,
2013-12,22512,
2014-01,22720,
2014-02,23655,
2014-03,24127,
2014-04,24373,
2014-05,25086,
2014-06,25339,
2014-07,25899,
2014-08,30484,
2014-09,30575,
2014-10,30623,
2014-11,31378,
