"",BBK01.OEBB20I,BBK01.OEBB20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:55,
2002-01,8.535,
2002-04,8.670,
2002-07,8.755,
2002-10,8.645,
2003-01,8.736,
2003-04,8.933,
2003-07,7.241,
2003-10,7.314,
2004-01,7.443,
2004-04,7.692,
2004-07,7.864,
2004-10,7.923,
2005-01,9.261,
2005-04,9.540,
2005-07,9.890,
2005-10,10.730,
2006-01,11.116,
2006-04,11.280,
2006-07,11.732,
2006-10,13.543,
2007-01,14.981,
2007-04,15.782,
2007-07,16.567,
2007-10,16.900,
2008-01,18.304,
2008-04,19.772,
2008-07,20.911,
2008-10,22.883,
2009-01,23.421,
2009-04,25.158,
2009-07,25.173,
2009-10,25.521,
2010-01,25.220,
2010-04,24.762,
2010-07,24.336,
2010-10,23.981,
2011-01,23.770,
2011-04,23.525,
2011-07,23.372,
2011-10,22.779,
2012-01,22.587,
2012-04,22.409,
2012-07,22.136,
2012-10,21.959,
2013-01,21.732,
2013-04,21.607,
2013-07,21.448,
2013-10,21.339,
2014-01,21.210,
2014-04,21.317,
2014-07,21.362,
