"",BBEX3.M.DOP.EUR.CA.AC.A01,BBEX3.M.DOP.EUR.CA.AC.A01_FLAGS
"",Exchange rates and comparable rates for the euro in the Dominican Republic * / EUR 1 = DOP ... (middle),
unit,DOP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:04,
2006-01,41.68750,
2006-02,38.91585,
2006-03,38.79500,
2006-04,39.81800,
2006-05,41.85670,
2006-06,41.27915,
2006-07,41.38565,
2006-08,41.89355,
2006-09,42.45165,
2006-10,42.23315,
2006-11,43.57200,
2006-12,43.48765,
2007-01,43.23365,
2007-02,43.58065,
2007-03,42.95605,
2007-04,43.94105,
2007-05,43.30100,
2007-06,44.44320,
2007-07,44.63095,
2007-08,45.19465,
2007-09,46.85895,
2007-10,47.95090,
2007-11,49.45065,
2007-12,49.47570,
2008-01,50.41160,
2008-02,51.02320,
2008-03,53.46195,
2008-04,52.92775,
2008-05,52.88260,
2008-06,54.06130,
2008-07,53.78820,
2008-08,51.45860,
2008-09,49.98335,
2008-10,44.73335,
2008-11,45.31545,
2008-12,49.16010,
2009-01,45.54625,
2009-02,45.07790,
2009-03,47.72675,
2009-04,47.74695,
2009-05,50.70105,
2009-06,50.84280,
2009-07,50.96350,
2009-08,51.52050,
2009-09,52.85510,
2009-10,53.44355,
2009-11,54.26490,
2009-12,51.98945,
2010-01,50.55305,
2010-02,49.28170,
2010-03,49.04220,
2010-04,48.81865,
2010-05,45.26275,
2010-06,45.18695,
2010-07,48.08140,
2010-08,46.86835,
2010-09,50.70855,
2010-10,51.63645,
2010-11,48.46095,
2010-12,50.08150,
2011-01,51.39790,
2011-02,52.25660,
2011-03,53.80540,
2011-04,56.28930,
2011-05,54.64185,
2011-06,54.98280,
2011-07,54.31930,
2011-08,55.14110,
2011-09,51.64365,
2011-10,53.73050,
2011-11,51.71540,
2011-12,50.16900,
2012-01,51.29360,
2012-02,52.43845,
2012-03,52.15805,
2012-04,51.60315,
2012-05,48.47745,
2012-06,49.24665,
2012-07,48.06225,
2012-08,49.39710,
2012-09,50.81000,
2012-10,51.58135,
2012-11,52.12790,
2012-12,53.21000,
2013-01,55.19860,
2013-02,53.73445,
2013-03,52.58795,
2013-04,53.71110,
2013-05,53.65265,
2013-06,54.75515,
2013-07,55.91335,
2013-08,56.80150,
2013-09,57.37235,
2013-10,57.95810,
2013-11,57.84020,
2013-12,58.93070,
2014-01,58.49525,
2014-02,59.32945,
2014-03,59.37000,
2014-04,59.72310,
2014-05,59.02300,
2014-06,59.20660,
2014-07,58.72540,
2014-08,57.70470,
2014-09,55.94465,
2014-10,55.87325,
2014-11,55.26020,
2014-12,54.54850,
2015-01,50.95775,
"","Source: Banco Central de la República Dominicana, Santo Domingo.",
"","Methodology: * We have data on exchange rates for the euro in the Dominican Republic until March 2008 and again since January 2014. From April 2008 until December 2013, the quoted figures are comparable rates calculated on the basis of the buying and selling rates for the US dollar in the Dominican Republic in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.",
