"",BBK01.OEAH98L,BBK01.OEAH98L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:37,
2002-01,4.178,
2002-04,3.643,
2002-07,3.665,
2002-10,3.606,
2003-01,3.417,
2003-04,3.178,
2003-07,6.088,
2003-10,2.429,
2004-01,0.198,
2004-04,0.186,
2004-07,0.177,
2004-10,0.148,
2005-01,1.068,
2005-04,0.696,
2005-07,0.124,
2005-10,0.533,
2006-01,0.584,
2006-04,0.661,
2006-07,0.626,
2006-10,0.626,
2007-01,0.558,
2007-04,0.668,
2007-07,0.626,
2007-10,0.901,
2008-01,0.835,
2008-04,0.796,
2008-07,0.786,
2008-10,0.750,
2009-01,0.760,
2009-04,0.702,
2009-07,0.710,
2009-10,0.699,
2010-01,0.664,
2010-04,0.675,
2010-07,0.677,
2010-10,0.640,
2011-01,0.647,
2011-04,0.743,
2011-07,0.720,
2011-10,0.690,
2012-01,0.653,
2012-04,0.602,
2012-07,0.730,
2012-10,0.717,
2013-01,0.684,
2013-04,0.669,
2013-07,0.666,
2013-10,0.643,
2014-01,0.606,
2014-04,0.702,
2014-07,1.148,
