"",BBEX3.M.KWD.EUR.CA.AA.A01,BBEX3.M.KWD.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Kuwait  / EUR 1 = KWD ... (buying),
unit,KWD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:38,
1999-01,0.3434020,
1999-02,0.3337730,
1999-03,0.3295100,
1999-04,0.3227450,
1999-05,0.3185420,
1999-06,0.3151470,
1999-07,0.3237170,
1999-08,0.3182920,
1999-09,0.3212890,
1999-10,0.3179950,
1999-11,0.3055850,
1999-12,0.3044450,
2000-01,0.2979200,
2000-02,0.2967090,
2000-03,0.2903124,
2000-04,0.2790103,
2000-05,0.2842622,
2000-06,0.2879510,
2000-07,0.2824011,
2000-08,0.2738041,
2000-09,0.2696803,
2000-10,0.2579089,
2000-11,0.2648753,
2000-12,0.2816267,
2001-01,0.2830183,
2001-02,0.2783245,
2001-03,0.2705122,
2001-04,0.2713679,
2001-05,0.2598833,
2001-06,0.2633206,
2001-07,0.2660034,
2001-08,0.2744576,
2001-09,0.2749261,
2001-10,0.2737238,
2001-11,0.2684583,
2001-12,0.2687229,
2002-01,0.2623325,
2002-02,0.2628348,
2002-03,0.2646641,
2002-04,0.2729193,
2002-05,0.2822468,
2002-06,0.2955990,
2002-07,0.2935011,
2002-08,0.2935558,
2002-09,0.2942548,
2002-10,0.2953041,
2002-11,0.2961348,
2002-12,0.3109271,
2003-01,0.3200716,
2003-02,0.3187736,
2003-03,0.3215814,
2003-04,0.3302282,
2003-05,0.3495306,
2003-06,0.3416508,
2003-07,0.3371220,
2003-08,0.3272891,
2003-09,0.3405179,
2003-10,0.3410138,
2003-11,0.3512739,
2003-12,0.3674928,
2004-01,0.3653822,
2004-02,0.3647959,
2004-03,0.3570567,
2004-04,0.3486726,
2004-05,0.3566463,
2004-06,0.3531871,
2004-07,0.3530112,
2004-08,0.3531285,
2004-09,0.3600468,
2004-10,0.3736197,
2004-11,0.3878375,
2004-12,0.3985667,
2005-01,0.3782980,
2005-02,0.3861580,
2005-03,0.3765020,
2005-04,0.3767930,
2005-05,0.3610570,
2005-06,0.3524600,
2005-07,0.3537720,
2005-08,0.3559570,
2005-09,0.3509480,
2005-10,0.3517320,
2005-11,0.3428840,
2005-12,0.3471350,
2006-01,0.3523150,
2006-02,0.3456120,
2006-03,0.3513990,
2006-04,0.3681960,
2006-05,0.3716590,
2006-06,0.3611410,
2006-07,0.3683410,
2006-08,0.3700720,
2006-09,0.3665170,
2006-10,0.3668980,
2006-11,0.3801710,
2006-12,0.3793450,
2007-01,0.3733900,
2007-02,0.3802810,
2007-03,0.3848210,
2007-04,0.3934450,
2007-05,0.3862260,
2007-06,0.3863980,
2007-07,0.3858810,
2007-08,0.3823120,
2007-09,0.3978210,
2007-10,0.3992230,
2007-11,0.4027440,
2007-12,0.4003260,
2008-01,0.4047290,
2008-02,0.4103930,
2008-03,0.4185030,
2008-04,0.4142060,
2008-05,0.4110860,
2008-06,0.4172400,
2008-07,0.4130310,
2008-08,0.3912910,
2008-09,0.3810250,
2008-10,0.3502530,
2008-11,0.3524830,
2008-12,0.3868040,
2009-01,0.3777800,
2009-02,0.3740250,
2009-03,0.3850470,
2009-04,0.3858120,
2009-05,0.4021250,
2009-06,0.4036350,
2009-07,0.4086940,
2009-08,0.4089920,
2009-09,0.4193640,
2009-10,0.4214080,
2009-11,0.4263440,
2009-12,0.4124860,
2010-01,0.4010840,
2010-02,0.3898170,
2010-03,0.3885610,
2010-04,0.3819400,
2010-05,0.3572930,
2010-06,0.3560340,
2010-07,0.3746110,
2010-08,0.3643120,
2010-09,0.3862180,
2010-10,0.3875640,
2010-11,0.3662270,
2010-12,0.3696850,
2011-01,0.3793500,
2011-02,0.3811540,
2011-03,0.3915880,
2011-04,0.4035630,
2011-05,0.3935580,
2011-06,0.3939580,
2011-07,0.3875520,
2011-08,0.3921460,
2011-09,0.3729560,
2011-10,0.3827920,
2011-11,0.3669700,
2011-12,0.3573990,
2012-01,0.3639530,
2012-02,0.3703120,
2012-03,0.3666830,
2012-04,0.3647780,
2012-05,0.3463550,
2012-06,0.3461610,
2012-07,0.3442870,
2012-08,0.3516780,
2012-09,0.3597110,
2012-10,0.3636890,
2012-11,0.3637380,
2012-12,0.3690440,
2013-01,0.3786150,
2013-02,0.3693180,
2013-03,0.3644300,
2013-04,0.3701020,
2013-05,0.3682820,
2013-06,0.3696500,
2013-07,0.3752210,
2013-08,0.3741890,
2013-09,0.3799120,
2013-10,0.3826120,
2013-11,0.3821810,
2013-12,0.3861780,
2014-01,0.3817260,
2014-02,0.3840140,
2014-03,0.3866870,
2014-04,0.3876480,
2014-05,0.3815720,
2014-06,0.3828970,
2014-07,0.3783530,
2014-08,0.3729380,
2014-09,0.3609750,
2014-10,0.3626300,
2014-11,0.3612630,
2014-12,0.3537110,
2015-01,0.3315860,
"","Source: Since January 2005: Commercial Bank of Kuwait 1999 - December 2004: Bank of Kuwait and the Middle East, Kuwait",
