"",BBK01.OEAF33S,BBK01.OEAF33S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:59,
2002-01,6.372,
2002-04,6.436,
2002-07,6.500,
2002-10,6.631,
2003-01,6.673,
2003-04,6.716,
2003-07,6.872,
2003-10,6.948,
2004-01,6.797,
2004-04,6.808,
2004-07,6.887,
2004-10,6.461,
2005-01,7.348,
2005-04,7.388,
2005-07,7.414,
2005-10,7.426,
2006-01,7.412,
2006-04,7.443,
2006-07,7.492,
2006-10,7.562,
2007-01,7.536,
2007-04,7.666,
2007-07,7.648,
2007-10,7.664,
2008-01,7.574,
2008-04,7.514,
2008-07,7.573,
2008-10,7.543,
2009-01,7.514,
2009-04,8.014,
2009-07,8.076,
2009-10,7.794,
2010-01,8.036,
2010-04,8.094,
2010-07,8.146,
2010-10,8.129,
2011-01,8.276,
2011-04,8.319,
2011-07,8.382,
2011-10,8.446,
2012-01,8.516,
2012-04,8.656,
2012-07,8.798,
2012-10,8.929,
2013-01,9.030,
2013-04,9.156,
2013-07,9.319,
2013-10,9.460,
2014-01,9.540,
2014-04,9.700,
2014-07,9.886,
