"",BBK01.OEAB06K,BBK01.OEAB06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:59,
2002-01,20.140,
2002-04,19.797,
2002-07,18.891,
2002-10,19.369,
2003-01,17.827,
2003-04,18.220,
2003-07,17.619,
2003-10,19.622,
2004-01,18.056,
2004-04,16.978,
2004-07,15.638,
2004-10,15.291,
2005-01,14.235,
2005-04,14.272,
2005-07,14.002,
2005-10,14.805,
2006-01,13.770,
2006-04,14.631,
2006-07,15.240,
2006-10,16.004,
2007-01,14.964,
2007-04,14.213,
2007-07,15.460,
2007-10,15.500,
2008-01,16.462,
2008-04,16.933,
2008-07,16.752,
2008-10,17.428,
2009-01,17.886,
2009-04,17.736,
2009-07,17.254,
2009-10,17.029,
2010-01,17.429,
2010-04,18.998,
2010-07,17.289,
2010-10,16.979,
2011-01,16.631,
2011-04,16.547,
2011-07,17.487,
2011-10,17.139,
2012-01,17.649,
2012-04,18.322,
2012-07,18.056,
2012-10,17.326,
2013-01,17.399,
2013-04,17.978,
2013-07,17.702,
2013-10,17.337,
2014-01,17.384,
2014-04,18.253,
2014-07,17.153,
