"",BBK01.OECB12T,BBK01.OECB12T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:04,
2002-01,1.164,
2002-04,1.167,
2002-07,1.150,
2002-10,1.125,
2003-01,1.067,
2003-04,1.040,
2003-07,1.041,
2003-10,0.997,
2004-01,0.956,
2004-04,0.927,
2004-07,0.882,
2004-10,0.863,
2005-01,0.830,
2005-04,0.783,
2005-07,0.744,
2005-10,0.724,
2006-01,0.686,
2006-04,0.751,
2006-07,0.746,
2006-10,0.731,
2007-01,0.683,
2007-04,0.672,
2007-07,0.673,
2007-10,0.663,
2008-01,0.662,
2008-04,0.665,
2008-07,0.653,
2008-10,0.636,
2009-01,0.621,
2009-04,0.645,
2009-07,0.636,
2009-10,0.816,
2010-01,0.813,
2010-04,0.804,
2010-07,0.829,
2010-10,0.837,
2011-01,0.863,
2011-04,0.854,
2011-07,0.838,
2011-10,0.847,
2012-01,0.859,
2012-04,0.851,
2012-07,0.866,
2012-10,0.852,
2013-01,0.861,
2013-04,0.849,
2013-07,0.852,
2013-10,0.774,
2014-01,0.730,
2014-04,0.730,
2014-07,0.826,
