"",BBK01.OECB07N,BBK01.OECB07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:48,
2002-01,4.199,
2002-04,3.970,
2002-07,3.863,
2002-10,3.636,
2003-01,3.348,
2003-04,3.227,
2003-07,2.713,
2003-10,2.687,
2004-01,2.737,
2004-04,2.703,
2004-07,2.697,
2004-10,2.577,
2005-01,3.385,
2005-04,3.309,
2005-07,3.570,
2005-10,3.455,
2006-01,3.525,
2006-04,3.939,
2006-07,4.056,
2006-10,4.067,
2007-01,4.129,
2007-04,4.018,
2007-07,4.103,
2007-10,4.178,
2008-01,5.155,
2008-04,5.601,
2008-07,5.604,
2008-10,6.538,
2009-01,5.218,
2009-04,5.420,
2009-07,5.505,
2009-10,5.208,
2010-01,4.822,
2010-04,4.821,
2010-07,5.060,
2010-10,4.963,
2011-01,4.803,
2011-04,4.550,
2011-07,4.463,
2011-10,4.683,
2012-01,4.588,
2012-04,4.429,
2012-07,4.309,
2012-10,4.168,
2013-01,4.901,
2013-04,5.566,
2013-07,4.757,
2013-10,4.661,
2014-01,4.998,
2014-04,4.972,
2014-07,4.998,
