"",BBK01.OEBL02G,BBK01.OEBL02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:06,
2002-01,16.282,
2002-04,17.595,
2002-07,17.017,
2002-10,18.722,
2003-01,20.066,
2003-04,21.298,
2003-07,21.638,
2003-10,22.544,
2004-01,22.749,
2004-04,23.066,
2004-07,22.924,
2004-10,23.943,
2005-01,10.926,
2005-04,11.220,
2005-07,10.862,
2005-10,10.902,
2006-01,10.898,
2006-04,11.085,
2006-07,10.450,
2006-10,10.504,
2007-01,10.732,
2007-04,11.232,
2007-07,11.226,
2007-10,11.167,
2008-01,11.243,
2008-04,11.220,
2008-07,11.212,
2008-10,12.481,
2009-01,13.895,
2009-04,14.754,
2009-07,14.028,
2009-10,14.131,
2010-01,15.296,
2010-04,15.619,
2010-07,15.388,
2010-10,15.563,
2011-01,15.387,
2011-04,15.852,
2011-07,15.743,
2011-10,15.510,
2012-01,15.507,
2012-04,15.895,
2012-07,16.493,
2012-10,16.681,
2013-01,16.825,
2013-04,17.648,
2013-07,17.954,
2013-10,18.365,
2014-01,18.454,
2014-04,18.899,
2014-07,19.053,
