"",BBK01.OXA7B6,BBK01.OXA7B6_FLAGS
"",Other loans to employees and other individuals - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:08,
2010-06,67.952,
2010-07,68.406,
2010-08,68.408,
2010-09,68.208,
2010-10,68.437,
2010-11,68.306,
2010-12,68.632,
2011-01,68.862,
2011-02,69.018,
2011-03,69.054,
2011-04,68.457,
2011-05,68.545,
2011-06,68.888,
2011-07,69.180,
2011-08,69.163,
2011-09,69.911,
2011-10,69.900,
2011-11,70.689,
2011-12,70.444,
2012-01,70.448,
2012-02,70.471,
2012-03,70.550,
2012-04,70.719,
2012-05,70.906,
2012-06,70.881,
2012-07,71.276,
2012-08,71.523,
2012-09,72.040,
2012-10,72.339,
2012-11,73.282,
2012-12,72.764,
2013-01,72.599,
2013-02,72.767,
2013-03,72.702,
2013-04,72.713,
2013-05,72.035,
2013-06,72.309,
2013-07,72.354,
2013-08,72.350,
2013-09,73.851,
2013-10,74.035,
2013-11,74.078,
2013-12,73.609,
2014-01,73.624,
2014-02,73.657,
2014-03,73.273,
2014-04,73.609,
2014-05,73.855,
2014-06,73.832,
2014-07,73.716,
2014-08,73.894,
2014-09,73.660,
2014-10,73.745,
2014-11,74.410,
2014-12,74.491,Provisional value
