"",BBK01.OEAH69L,BBK01.OEAH69L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:27,
2002-01,8.567,
2002-04,8.240,
2002-07,8.295,
2002-10,8.290,
2003-01,7.957,
2003-04,7.511,
2003-07,7.317,
2003-10,7.607,
2004-01,7.629,
2004-04,7.305,
2004-07,7.195,
2004-10,7.470,
2005-01,7.442,
2005-04,7.170,
2005-07,6.962,
2005-10,6.867,
2006-01,6.811,
2006-04,7.114,
2006-07,7.601,
2006-10,8.341,
2007-01,8.895,
2007-04,8.935,
2007-07,8.922,
2007-10,8.923,
2008-01,8.237,
2008-04,7.615,
2008-07,7.369,
2008-10,8.260,
2009-01,8.520,
2009-04,9.077,
2009-07,9.606,
2009-10,10.057,
2010-01,9.936,
2010-04,9.095,
2010-07,8.191,
2010-10,7.856,
2011-01,7.605,
2011-04,7.424,
2011-07,7.250,
2011-10,7.072,
2012-01,6.715,
2012-04,6.423,
2012-07,5.881,
2012-10,5.504,
2013-01,5.066,
2013-04,4.723,
2013-07,4.502,
2013-10,4.594,
2014-01,4.685,
2014-04,4.701,
2014-07,4.857,
