"",BBK01.OEAE18S,BBK01.OEAE18S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:54,
2002-01,0.058,
2002-04,0.058,
2002-07,0.063,
2002-10,0.068,
2003-01,0.065,
2003-04,0.070,
2003-07,0.072,
2003-10,0.069,
2004-01,0.065,
2004-04,0.053,
2004-07,0.061,
2004-10,0.053,
2005-01,0.066,
2005-04,0.067,
2005-07,0.051,
2005-10,0.052,
2006-01,0.046,
2006-04,0.068,
2006-07,0.061,
2006-10,0.053,
2007-01,0.052,
2007-04,0.059,
2007-07,0.053,
2007-10,0.052,
2008-01,0.044,
2008-04,0.045,
2008-07,0.048,
2008-10,0.048,
2009-01,0.047,
2009-04,0.033,
2009-07,0.031,
2009-10,0.031,
2010-01,0.036,
2010-04,0.038,
2010-07,0.037,
2010-10,0.035,
2011-01,0.036,
2011-04,0.031,
2011-07,0.031,
2011-10,0.027,
2012-01,0.029,
2012-04,0.030,
2012-07,0.025,
2012-10,0.027,
2013-01,0.032,
2013-04,0.029,
2013-07,0.033,
2013-10,0.033,
2014-01,0.030,
2014-04,0.030,
2014-07,0.028,
