"",BBK01.OEAH05U,BBK01.OEAH05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:13,
2002-01,0.202,
2002-04,0.199,
2002-07,0.190,
2002-10,0.201,
2003-01,0.209,
2003-04,0.203,
2003-07,0.197,
2003-10,0.202,
2004-01,0.186,
2004-04,0.181,
2004-07,0.191,
2004-10,0.177,
2005-01,0.246,
2005-04,0.256,
2005-07,0.246,
2005-10,0.263,
2006-01,0.270,
2006-04,0.292,
2006-07,0.306,
2006-10,0.312,
2007-01,0.342,
2007-04,0.319,
2007-07,0.348,
2007-10,0.404,
2008-01,0.411,
2008-04,0.410,
2008-07,0.656,
2008-10,0.666,
2009-01,0.791,
2009-04,0.753,
2009-07,0.790,
2009-10,0.806,
2010-01,0.850,
2010-04,0.927,
2010-07,0.939,
2010-10,0.951,
2011-01,0.955,
2011-04,1.016,
2011-07,0.997,
2011-10,1.008,
2012-01,1.134,
2012-04,1.150,
2012-07,1.131,
2012-10,1.211,
2013-01,1.242,
2013-04,1.353,
2013-07,1.359,
2013-10,1.424,
2014-01,1.408,
2014-04,1.482,
2014-07,1.454,
