"",BBK01.OEHI03H,BBK01.OEHI03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:38,
2002-01,11.839,
2002-04,11.523,
2002-07,11.499,
2002-10,11.313,
2003-01,10.870,
2003-04,10.439,
2003-07,10.106,
2003-10,9.791,
2004-01,9.007,
2004-04,8.520,
2004-07,8.313,
2004-10,8.339,
2005-01,7.958,
2005-04,7.795,
2005-07,7.752,
2005-10,8.082,
2006-01,8.203,
2006-04,8.457,
2006-07,9.299,
2006-10,9.761,
2007-01,10.278,
2007-04,10.786,
2007-07,12.092,
2007-10,12.811,
2008-01,13.647,
2008-04,14.715,
2008-07,16.234,
2008-10,18.403,
2009-01,13.984,
2009-04,10.503,
2009-07,8.673,
2009-10,8.274,
2010-01,7.096,
2010-04,6.553,
2010-07,6.492,
2010-10,6.825,
2011-01,6.340,
2011-04,6.020,
2011-07,6.311,
2011-10,7.001,
2012-01,6.339,
2012-04,5.457,
2012-07,5.016,
2012-10,4.354,
2013-01,4.119,
2013-04,3.693,
2013-07,3.589,
2013-10,3.479,
2014-01,3.311,
2014-04,3.030,
2014-07,3.193,
