"",BBFB1.M.N.DE.W1.S1.S1.T.C.___D42S.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.___D42S.D.F5._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Equity / Dividends and other distributed profits / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:32,
1991-01,300.535,
1991-02,160.202,
1991-03,178.630,
1991-04,137.415,
1991-05,196.431,
1991-06,76.199,
1991-07,221.738,
1991-08,160.460,
1991-09,150.557,
1991-10,87.190,
1991-11,73.555,
1991-12,394.889,
1992-01,366.164,
1992-02,235.615,
1992-03,434.748,
1992-04,341.916,
1992-05,308.919,
1992-06,315.577,
1992-07,459.729,
1992-08,379.190,
1992-09,152.420,
1992-10,218.735,
1992-11,69.362,
1992-12,537.009,
1993-01,503.179,
1993-02,137.762,
1993-03,597.358,
1993-04,596.694,
1993-05,148.699,
1993-06,233.546,
1993-07,418.445,
1993-08,277.241,
1993-09,341.672,
1993-10,266.906,
1993-11,131.821,
1993-12,957.278,
1994-01,529.755,
1994-02,293.957,
1994-03,796.560,
1994-04,650.090,
1994-05,274.607,
1994-06,503.640,
1994-07,472.733,
1994-08,196.521,
1994-09,403.321,
1994-10,168.736,
1994-11,132.983,
1994-12,1009.118,
1995-01,508.018,
1995-02,368.416,
1995-03,694.726,
1995-04,531.984,
1995-05,222.216,
1995-06,545.785,
1995-07,563.642,
1995-08,161.862,
1995-09,322.588,
1995-10,205.195,
1995-11,194.301,
1995-12,977.462,
1996-01,538.842,
1996-02,389.565,
1996-03,938.170,
1996-04,606.025,
1996-05,254.833,
1996-06,448.942,
1996-07,695.748,
1996-08,230.047,
1996-09,326.940,
1996-10,171.180,
1996-11,202.491,
1996-12,1249.304,
1997-01,573.506,
1997-02,594.663,
1997-03,913.795,
1997-04,668.981,
1997-05,362.951,
1997-06,899.637,
1997-07,545.190,
1997-08,441.824,
1997-09,370.784,
1997-10,575.256,
1997-11,595.533,
