"",BBSF2.M.1.S.00000.AKT01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:23,
2009-09,27552,
2009-10,26333,
2009-11,26541,
2009-12,27637,
2010-01,27333,
2010-02,27418,
2010-03,30317,
2010-04,30316,
2010-05,28799,
2010-06,28383,
2010-07,29107,
2010-08,28241,
2010-09,29816,
2010-10,30272,
2010-11,30758,
2010-12,31868,
2011-01,31816,
2011-02,32435,
2011-03,31745,
2011-04,31677,
2011-05,31786,
2011-06,31082,
2011-07,30847,
2011-08,27748,
2011-09,26336,
2011-10,28303,
2011-11,27544,
2011-12,27995,
2012-01,28771,
2012-02,29104,
2012-03,28964,
2012-04,27146,
2012-05,25881,
2012-06,26088,
2012-07,27459,
2012-08,27721,
2012-09,28119,
2012-10,28291,
2012-11,28819,
2012-12,31239,
2013-01,32075,
2013-02,32761,
2013-03,34369,
2013-04,34406,
2013-05,35234,
2013-06,33744,
2013-07,35706,
2013-08,35768,
2013-09,37096,
2013-10,38298,
2013-11,39851,
2013-12,39058,
2014-01,37954,
2014-02,39306,
2014-03,39171,
2014-04,40195,
2014-05,41316,
2014-06,41888,
2014-07,42361,
2014-08,43739,
2014-09,43474,
2014-10,42977,
2014-11,47746,
