"",BBNZ1.Q.DE.S.H.0934.A,BBNZ1.Q.DE.S.H.0934.A_FLAGS
"","Germany / National accounts / Unit labor costs on an hourly basis / Wholesale / retail trade, transport and storage, hotel and restaurant services / Chain-linked index / Seasonally adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:12,
1991-01,83.71,
1991-04,87.07,
1991-07,91.10,
1991-10,91.85,
1992-01,93.03,
1992-04,97.42,
1992-07,99.09,
1992-10,98.49,
1993-01,102.36,
1993-04,103.81,
1993-07,103.76,
1993-10,105.55,
1994-01,104.67,
1994-04,105.66,
1994-07,104.39,
1994-10,104.01,
1995-01,105.34,
1995-04,106.66,
1995-07,106.87,
1995-10,107.32,
1996-01,109.34,
1996-04,107.47,
1996-07,107.45,
1996-10,107.57,
1997-01,109.28,
1997-04,106.40,
1997-07,106.52,
1997-10,106.15,
1998-01,103.95,
1998-04,106.52,
1998-07,105.73,
1998-10,105.95,
1999-01,106.75,
1999-04,108.70,
1999-07,107.61,
1999-10,106.30,
2000-01,105.80,
2000-04,105.80,
2000-07,106.37,
2000-10,106.95,
2001-01,102.21,
2001-04,103.41,
2001-07,104.37,
2001-10,103.00,
2002-01,102.32,
2002-04,101.71,
2002-07,101.59,
2002-10,101.03,
2003-01,101.91,
2003-04,100.75,
2003-07,98.49,
2003-10,99.04,
2004-01,98.42,
2004-04,97.58,
2004-07,97.56,
2004-10,96.89,
2005-01,97.63,
2005-04,95.55,
2005-07,94.94,
2005-10,94.55,
2006-01,90.08,
2006-04,89.84,
2006-07,90.29,
2006-10,87.72,
2007-01,88.97,
2007-04,89.00,
2007-07,88.80,
2007-10,88.60,
2008-01,88.93,
2008-04,89.66,
2008-07,91.98,
2008-10,94.49,
2009-01,97.22,
2009-04,97.52,
2009-07,96.75,
2009-10,96.98,
2010-01,101.05,
2010-04,100.45,
2010-07,99.03,
2010-10,99.54,
2011-01,97.45,
2011-04,98.54,
2011-07,99.44,
2011-10,100.42,
2012-01,101.91,
2012-04,104.50,
2012-07,106.58,
2012-10,106.47,
2013-01,107.18,
2013-04,106.92,
2013-07,106.76,
2013-10,107.63,
2014-01,108.48,
2014-04,109.20,
2014-07,109.38,
2014-10,109.56,
