"",BBK01.CEFFIL,BBK01.CEFFIL_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:56,
1999-01,7.8,
1999-04,7.8,
1999-07,7.8,
1999-10,6.7,
2000-01,6.7,
2000-04,6.7,
2000-07,6.8,
2000-10,6.7,
2001-01,6.7,
2001-04,6.8,
2001-07,6.8,
2001-10,7.0,
2002-01,7.1,
2002-04,7.2,
2002-07,7.2,
2002-10,9.0,
2003-01,9.0,
2003-04,9.1,
2003-07,9.2,
2003-10,9.3,
2004-01,9.4,
2004-04,9.2,
2004-07,9.2,
2004-10,9.1,
2005-01,8.8,
2005-04,9.0,
2005-07,8.8,
2005-10,8.6,
2006-01,8.7,
2006-04,9.0,
2006-07,9.3,
2006-10,10.7,
2007-01,10.8,
2007-04,10.9,
2007-07,11.0,
2007-10,9.1,
2008-01,9.8,
2008-04,10.3,
2008-07,10.8,
2008-10,10.7,
2009-01,10.4,
2009-04,10.0,
2009-07,9.6,
2009-10,9.3,
2010-01,9.4,
2010-04,9.6,
2010-07,9.7,
2010-10,9.8,
2011-01,10.2,
2011-04,10.2,
2011-07,10.0,
2011-10,11.0,
2012-01,11.0,
2012-04,11.0,
2012-07,10.9,
2012-10,11.4,
2013-01,11.5,
2013-04,11.6,
2013-07,11.5,
2013-10,11.1,
2014-01,10.9,
2014-04,10.9,
2014-07,10.6,
