"",BBK01.WXI030,BBK01.WXI030_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:25,
2009-01,2363,
2009-02,2362,
2009-03,1557,
2009-04,1325,
2009-05,2350,
2009-06,1094,
2009-07,1202,
2009-08,1355,
2009-09,1289,
2009-10,1315,
2009-11,1219,
2009-12,757,
2010-01,824,
2010-02,818,
2010-03,776,
2010-04,864,
2010-05,995,
2010-06,1145,
2010-07,1027,
2010-08,1021,
2010-09,1062,
2010-10,892,
2010-11,890,
2010-12,813,
2011-01,835,
2011-02,960,
2011-03,939,
2011-04,1063,
2011-05,883,
2011-06,894,
2011-07,853,
2011-08,1152,
2011-09,1006,
2011-10,1113,
2011-11,1073,
2011-12,941,
2012-01,825,
2012-02,961,
2012-03,970,
2012-04,953,
2012-05,1297,
2012-06,916,
2012-07,945,
2012-08,916,
2012-09,753,
2012-10,760,
2012-11,750,
2012-12,764,
2013-01,881,
2013-02,723,
2013-03,728,
2013-04,965,
2013-05,5666,
2013-06,919,
2013-07,916,
2013-08,917,
2013-09,970,
2013-10,1181,
2013-11,1325,
2013-12,1260,
2014-01,994,
2014-02,1211,
2014-03,875,
2014-04,939,
2014-05,1041,
2014-06,885,
2014-07,929,
2014-08,993,
2014-09,949,
2014-10,831,
2014-11,1025,
